Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[13.0],[24.0],[7.0],[7.0],[7.0],[24.0],[82.0],[14.0],[3.0],[13.0],[13.0],[6.0],[7.0],[7.0],[6.0],[55.0],[82.0],[3.0],[13.0],[3.0],[7.0],[3.0],[3.0],[82.0],[7.0],[82.0],[13.0],[3.0],[82.0],[6.0],[82.0],[14.0],[7.0],[13.0],[3.0],[6.0],[13.0],[7.0],[83.0],[13.0],[82.0],[7.0],[82.0],[22.0],[82.0],[7.0],[15.0],[6.0],[6.0],[82.0],[82.0],[82.0],[7.0],[7.0],[22.0],[93.0],[1.0],[82.0],[82.0],[82.0],[82.0],[13.0],[13.0],[13.0],[48.0],[7.0],[13.0],[52.0],[14.0],[55.0],[3.0],[13.0],[13.0],[7.0],[13.0],[3.0],[26.0],[13.0],[93.0],[82.0],[6.0],[93.0],[38.0],[13.0],[7.0],[7.0],[7.0],[13.0],[82.0],[55.0],[13.0],[7.0],[6.0],[6.0],[82.0],[13.0],[82.0],[3.0],[82.0],[82.0]
1,[22.0],[13.0],[13.0],[37.0],[10.0],[13.0],[6.0],[41.0],[40.0],[55.0],[48.0],[41.0],[13.0],[67.0],[65.0],[59.0],[34.0],[40.0],[7.0],[7.0],[10.0],[83.0],[11.0],[34.0],[41.0],[13.0],[48.0],[13.0],[13.0],[7.0],[67.0],[3.0],[3.0],[14.0],[40.0],[80.0],[66.0],[13.0],[48.0],[37.0],[13.0],[13.0],[48.0],[79.0],[68.0],[6.0],[1.0],[39.0],[34.0],[13.0],[3.0],[91.0],[6.0],[14.0],[3.0],[67.0],[34.0],[13.0],[13.0],[65.0],[13.0],[3.0],[82.0],[34.0],[7.0],[13.0],[37.0],[65.0],[55.0],[13.0],[67.0],[67.0],[7.0],[102.0],[79.0],[40.0],[82.0],[11.0],[3.0],[6.0],[13.0],[48.0],[6.0],[37.0],[51.0],[59.0],[6.0],[34.0],[3.0],[3.0],[82.0],[3.0],[2.0],[40.0],[13.0],[48.0],[26.0],[10.0],[101.0],[40.0]
2,[55.0],[58.0],[67.0],[101.0],[40.0],[31.0],[34.0],[67.0],[13.0],[37.0],[67.0],[10.0],[37.0],[41.0],[7.0],[14.0],[65.0],[59.0],[67.0],[55.0],[40.0],[34.0],[13.0],[41.0],[3.0],[67.0],[67.0],[67.0],[34.0],[13.0],[65.0],[37.0],[37.0],[69.0],[67.0],[67.0],[22.0],[40.0],[66.0],[55.0],[68.0],[3.0],[67.0],[13.0],[52.0],[78.0],[34.0],[67.0],[11.0],[11.0],[37.0],[4.0],[67.0],[6.0],[13.0],[13.0],[67.0],[6.0],[31.0],[48.0],[48.0],[37.0],[66.0],[24.0],[81.0],[34.0],[55.0],[67.0],[3.0],[65.0],[22.0],[82.0],[59.0],[22.0],[67.0],[24.0],[59.0],[67.0],[67.0],[92.0],[40.0],[7.0],[7.0],[7.0],[55.0],[13.0],[10.0],[7.0],[55.0],[13.0],[48.0],[68.0],[40.0],[68.0],[6.0],[67.0],[59.0],[55.0],[6.0],[14.0]
3,[96.0],[91.0],[37.0],[3.0],[34.0],[34.0],[3.0],[59.0],[34.0],[7.0],[84.0],[40.0],[3.0],[92.0],[67.0],[75.0],[55.0],[7.0],[1.0],[40.0],[95.0],[41.0],[82.0],[3.0],[1.0],[34.0],[82.0],[48.0],[35.0],[34.0],[92.0],[7.0],[11.0],[48.0],[13.0],[13.0],[83.0],[82.0],[11.0],[78.0],[78.0],[16.0],[11.0],[58.0],[69.0],[67.0],[7.0],[7.0],[3.0],[59.0],[55.0],[11.0],[15.0],[55.0],[55.0],[86.0],[40.0],[14.0],[66.0],[13.0],[34.0],[59.0],[48.0],[11.0],[40.0],[82.0],[67.0],[6.0],[40.0],[84.0],[55.0],[24.0],[102.0],[44.0],[91.0],[13.0],[2.0],[34.0],[7.0],[3.0],[78.0],[11.0],[59.0],[59.0],[66.0],[15.0],[22.0],[67.0],[15.0],[2.0],[66.0],[90.0],[41.0],[82.0],[37.0],[37.0],[35.0],[93.0],[23.0],[59.0]
4,[40.0],[75.0],[55.0],[92.0],[41.0],[6.0],[66.0],[13.0],[55.0],[40.0],[1.0],[35.0],[67.0],[51.0],[13.0],[95.0],[81.0],[34.0],[25.0],[23.0],[67.0],[40.0],[6.0],[67.0],[13.0],[6.0],[11.0],[40.0],[6.0],[78.0],[40.0],[67.0],[55.0],[52.0],[25.0],[39.0],[67.0],[67.0],[100.0],[12.0],[66.0],[32.0],[35.0],[24.0],[37.0],[65.0],[102.0],[55.0],[48.0],[67.0],[7.0],[40.0],[48.0],[3.0],[24.0],[99.0],[13.0],[66.0],[40.0],[67.0],[89.0],[67.0],[12.0],[96.0],[82.0],[55.0],[7.0],[13.0],[25.0],[6.0],[92.0],[34.0],[2.0],[14.0],[18.0],[55.0],[93.0],[55.0],[34.0],[1.0],[34.0],[67.0],[15.0],[20.0],[80.0],[6.0],[11.0],[68.0],[78.0],[40.0],[32.0],[48.0],[15.0],[13.0],[88.0],[14.0],[76.0],[13.0],[13.0],[67.0]
5,[3.0],[1.0],[66.0],[14.0],[3.0],[66.0],[22.0],[48.0],[78.0],[59.0],[34.0],[3.0],[14.0],[13.0],[88.0],[86.0],[7.0],[67.0],[41.0],[96.0],[91.0],[11.0],[34.0],[10.0],[6.0],[30.0],[59.0],[52.0],[67.0],[42.0],[13.0],[13.0],[72.0],[68.0],[81.0],[55.0],[55.0],[41.0],[13.0],[3.0],[67.0],[67.0],[18.0],[55.0],[40.0],[1.0],[2.0],[13.0],[67.0],[93.0],[11.0],[13.0],[68.0],[67.0],[40.0],[48.0],[3.0],[59.0],[34.0],[12.0],[67.0],[7.0],[67.0],[67.0],[101.0],[89.0],[78.0],[3.0],[51.0],[2.0],[1.0],[41.0],[37.0],[82.0],[47.0],[42.0],[13.0],[6.0],[40.0],[91.0],[2.0],[13.0],[13.0],[5.0],[43.0],[67.0],[3.0],[93.0],[1.0],[78.0],[59.0],[13.0],[55.0],[41.0],[52.0],[25.0],[34.0],[2.0],[3.0],[6.0]
6,[11.0],[40.0],[11.0],[23.0],[67.0],[23.0],[67.0],[82.0],[48.0],[11.0],[3.0],[59.0],[1.0],[15.0],[101.0],[44.0],[67.0],[22.0],[3.0],[13.0],[34.0],[59.0],[18.0],[93.0],[11.0],[65.0],[49.0],[4.0],[40.0],[80.0],[3.0],[59.0],[35.0],[34.0],[101.0],[3.0],[37.0],[2.0],[68.0],[67.0],[48.0],[34.0],[2.0],[48.0],[6.0],[22.0],[37.0],[23.0],[40.0],[34.0],[25.0],[3.0],[32.0],[52.0],[56.0],[40.0],[55.0],[92.0],[37.0],[11.0],[11.0],[101.0],[6.0],[2.0],[66.0],[14.0],[80.0],[55.0],[13.0],[91.0],[35.0],[22.0],[55.0],[6.0],[84.0],[37.0],[91.0],[94.0],[55.0],[15.0],[67.0],[98.0],[40.0],[55.0],[11.0],[44.0],[75.0],[48.0],[22.0],[22.0],[6.0],[30.0],[68.0],[3.0],[34.0],[34.0],[2.0],[24.0],[59.0],[13.0]
7,[41.0],[67.0],[61.0],[70.0],[81.0],[48.0],[78.0],[55.0],[61.0],[24.0],[40.0],[15.0],[55.0],[11.0],[34.0],[13.0],[91.0],[66.0],[14.0],[34.0],[55.0],[15.0],[28.0],[40.0],[35.0],[7.0],[20.0],[7.0],[2.0],[101.0],[91.0],[66.0],[1.0],[66.0],[88.0],[1.0],[31.0],[17.0],[40.0],[51.0],[41.0],[66.0],[13.0],[1.0],[23.0],[3.0],[91.0],[40.0],[24.0],[81.0],[2.0],[42.0],[14.0],[2.0],[34.0],[42.0],[48.0],[41.0],[48.0],[55.0],[18.0],[15.0],[3.0],[52.0],[41.0],[6.0],[68.0],[14.0],[48.0],[40.0],[27.0],[48.0],[22.0],[13.0],[41.0],[67.0],[40.0],[48.0],[13.0],[13.0],[41.0],[55.0],[67.0],[98.0],[20.0],[68.0],[1.0],[52.0],[13.0],[20.0],[37.0],[24.0],[35.0],[55.0],[3.0],[8.0],[52.0],[35.0],[96.0],[2.0]
8,[6.0],[25.0],[40.0],[11.0],[24.0],[17.0],[15.0],[1.0],[42.0],[41.0],[75.0],[34.0],[91.0],[6.0],[24.0],[79.0],[22.0],[2.0],[48.0],[1.0],[41.0],[13.0],[73.0],[18.0],[97.0],[69.0],[31.0],[68.0],[79.0],[55.0],[34.0],[15.0],[13.0],[3.0],[15.0],[40.0],[7.0],[92.0],[34.0],[66.0],[34.0],[55.0],[68.0],[91.0],[34.0],[55.0],[23.0],[66.0],[13.0],[98.0],[13.0],[55.0],[3.0],[11.0],[41.0],[66.0],[96.0],[48.0],[52.0],[68.0],[75.0],[14.0],[68.0],[51.0],[14.0],[81.0],[48.0],[7.0],[72.0],[101.0],[11.0],[17.0],[41.0],[66.0],[14.0],[34.0],[41.0],[88.0],[59.0],[8.0],[1.0],[15.0],[3.0],[22.0],[40.0],[69.0],[23.0],[14.0],[20.0],[23.0],[52.0],[41.0],[34.0],[75.0],[44.0],[2.0],[7.0],[23.0],[81.0],[94.0]
9,[1.0],[51.0],[20.0],[18.0],[15.0],[101.0],[41.0],[58.0],[81.0],[67.0],[88.0],[4.0],[23.0],[40.0],[99.0],[6.0],[73.0],[55.0],[35.0],[67.0],[25.0],[68.0],[81.0],[79.0],[2.0],[55.0],[80.0],[18.0],[70.0],[41.0],[61.0],[10.0],[23.0],[67.0],[28.0],[66.0],[86.0],[15.0],[67.0],[68.0],[79.0],[61.0],[6.0],[8.0],[1.0],[52.0],[75.0],[68.0],[68.0],[3.0],[20.0],[73.0],[40.0],[47.0],[7.0],[41.0],[68.0],[3.0],[18.0],[83.0],[40.0],[68.0],[40.0],[35.0],[2.0],[59.0],[14.0],[100.0],[35.0],[37.0],[76.0],[25.0],[4.0],[48.0],[3.0],[83.0],[58.0],[18.0],[100.0],[2.0],[22.0],[6.0],[4.0],[34.0],[37.0],[18.0],[81.0],[49.0],[2.0],[24.0],[34.0],[11.0],[4.0],[34.0],[31.0],[81.0],[81.0],[98.0],[75.0],[41.0]
