Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[478.0],[209.0],[262.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[262.0],[209.0],[209.0],[262.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[262.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[262.0],[209.0],[209.0],[262.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0]
1,[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[382.0],[262.0],[209.0],[478.0],[209.0],[262.0],[262.0],[262.0],[262.0],[478.0],[262.0],[262.0],[262.0],[471.0],[262.0],[179.0],[262.0],[209.0],[262.0],[262.0],[478.0],[262.0],[478.0],[209.0],[209.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[209.0],[262.0],[262.0],[262.0],[478.0],[478.0],[179.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[179.0],[262.0],[209.0],[478.0],[209.0],[478.0],[262.0],[262.0],[262.0],[209.0],[209.0],[262.0],[209.0],[262.0],[262.0],[262.0],[262.0],[179.0],[478.0],[262.0],[209.0],[262.0],[209.0],[262.0],[654.0],[478.0],[179.0],[262.0],[209.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[179.0],[179.0],[262.0],[262.0],[262.0],[209.0],[262.0]
2,[478.0],[478.0],[74.0],[478.0],[977.0],[654.0],[262.0],[478.0],[977.0],[179.0],[668.0],[478.0],[179.0],[74.0],[179.0],[262.0],[977.0],[478.0],[977.0],[179.0],[179.0],[708.0],[668.0],[74.0],[646.0],[179.0],[869.0],[478.0],[755.0],[74.0],[471.0],[74.0],[478.0],[478.0],[471.0],[179.0],[478.0],[478.0],[179.0],[179.0],[478.0],[478.0],[544.0],[471.0],[478.0],[478.0],[478.0],[262.0],[262.0],[74.0],[179.0],[478.0],[179.0],[179.0],[668.0],[668.0],[630.0],[179.0],[977.0],[262.0],[113.0],[262.0],[478.0],[668.0],[478.0],[74.0],[977.0],[478.0],[544.0],[478.0],[179.0],[977.0],[478.0],[262.0],[262.0],[668.0],[544.0],[478.0],[544.0],[478.0],[262.0],[755.0],[262.0],[478.0],[544.0],[478.0],[179.0],[478.0],[977.0],[478.0],[478.0],[668.0],[478.0],[262.0],[262.0],[179.0],[478.0],[478.0],[471.0],[179.0]
3,[646.0],[74.0],[478.0],[74.0],[179.0],[977.0],[755.0],[654.0],[478.0],[977.0],[179.0],[668.0],[646.0],[478.0],[668.0],[708.0],[179.0],[646.0],[478.0],[985.0],[74.0],[262.0],[478.0],[709.0],[478.0],[74.0],[236.0],[471.0],[429.0],[478.0],[478.0],[478.0],[74.0],[668.0],[179.0],[544.0],[544.0],[646.0],[668.0],[646.0],[646.0],[668.0],[478.0],[478.0],[668.0],[646.0],[74.0],[755.0],[179.0],[822.0],[74.0],[74.0],[544.0],[74.0],[478.0],[822.0],[262.0],[668.0],[478.0],[762.0],[668.0],[654.0],[74.0],[478.0],[668.0],[478.0],[478.0],[74.0],[478.0],[668.0],[977.0],[478.0],[880.0],[110.0],[933.0],[478.0],[478.0],[223.0],[478.0],[378.0],[460.0],[221.0],[252.0],[668.0],[822.0],[668.0],[74.0],[646.0],[478.0],[668.0],[442.0],[478.0],[544.0],[583.0],[583.0],[544.0],[544.0],[74.0],[525.0],[74.0]
4,[544.0],[179.0],[471.0],[755.0],[79.0],[167.0],[740.0],[646.0],[236.0],[397.0],[471.0],[869.0],[822.0],[252.0],[583.0],[880.0],[79.0],[755.0],[654.0],[71.0],[583.0],[909.0],[583.0],[478.0],[977.0],[125.0],[646.0],[374.0],[646.0],[117.0],[525.0],[471.0],[755.0],[755.0],[568.0],[822.0],[755.0],[755.0],[822.0],[822.0],[755.0],[179.0],[382.0],[221.0],[755.0],[179.0],[654.0],[248.0],[31.0],[478.0],[822.0],[755.0],[374.0],[284.0],[630.0],[478.0],[822.0],[583.0],[79.0],[822.0],[374.0],[677.0],[471.0],[323.0],[755.0],[252.0],[37.0],[654.0],[708.0],[179.0],[822.0],[755.0],[646.0],[583.0],[654.0],[284.0],[382.0],[179.0],[382.0],[471.0],[478.0],[646.0],[478.0],[654.0],[671.0],[420.0],[220.0],[654.0],[755.0],[179.0],[583.0],[471.0],[654.0],[575.0],[478.0],[822.0],[880.0],[755.0],[478.0],[822.0]
5,[141.0],[471.0],[909.0],[471.0],[220.0],[220.0],[977.0],[975.0],[125.0],[220.0],[740.0],[471.0],[478.0],[471.0],[478.0],[525.0],[220.0],[13.0],[79.0],[429.0],[478.0],[478.0],[977.0],[471.0],[614.0],[478.0],[179.0],[738.0],[575.0],[471.0],[646.0],[179.0],[996.0],[775.0],[822.0],[708.0],[708.0],[285.0],[478.0],[478.0],[167.0],[977.0],[646.0],[646.0],[77.0],[520.0],[471.0],[471.0],[412.0],[575.0],[478.0],[575.0],[708.0],[478.0],[125.0],[977.0],[478.0],[478.0],[646.0],[471.0],[471.0],[933.0],[179.0],[471.0],[44.0],[575.0],[199.0],[471.0],[179.0],[909.0],[236.0],[79.0],[3.0],[478.0],[110.0],[609.0],[909.0],[575.0],[869.0],[869.0],[933.0],[122.0],[471.0],[429.0],[501.0],[471.0],[478.0],[37.0],[236.0],[525.0],[221.0],[740.0],[708.0],[478.0],[525.0],[442.0],[382.0],[471.0],[646.0],[478.0]
6,[285.0],[880.0],[525.0],[614.0],[478.0],[740.0],[501.0],[220.0],[646.0],[869.0],[880.0],[179.0],[977.0],[822.0],[471.0],[583.0],[478.0],[544.0],[646.0],[544.0],[471.0],[608.0],[250.0],[614.0],[471.0],[471.0],[875.0],[708.0],[614.0],[396.0],[125.0],[630.0],[471.0],[471.0],[646.0],[478.0],[646.0],[544.0],[977.0],[544.0],[544.0],[880.0],[471.0],[708.0],[977.0],[6.0],[701.0],[614.0],[977.0],[624.0],[575.0],[635.0],[478.0],[471.0],[471.0],[323.0],[499.0],[862.0],[179.0],[325.0],[179.0],[220.0],[708.0],[583.0],[977.0],[167.0],[374.0],[220.0],[646.0],[977.0],[478.0],[646.0],[583.0],[646.0],[544.0],[471.0],[179.0],[624.0],[646.0],[544.0],[266.0],[526.0],[769.0],[977.0],[179.0],[179.0],[471.0],[544.0],[646.0],[977.0],[296.0],[250.0],[220.0],[869.0],[869.0],[478.0],[670.0],[875.0],[677.0],[471.0]
7,[179.0],[397.0],[709.0],[63.0],[646.0],[146.0],[854.0],[242.0],[575.0],[471.0],[894.0],[996.0],[740.0],[544.0],[679.0],[977.0],[623.0],[614.0],[220.0],[382.0],[420.0],[977.0],[961.0],[501.0],[407.0],[847.0],[575.0],[759.0],[460.0],[423.0],[130.0],[382.0],[614.0],[614.0],[478.0],[436.0],[156.0],[167.0],[323.0],[624.0],[568.0],[975.0],[179.0],[635.0],[614.0],[500.0],[220.0],[975.0],[880.0],[889.0],[562.0],[977.0],[387.0],[393.0],[709.0],[880.0],[79.0],[977.0],[575.0],[769.0],[740.0],[646.0],[544.0],[544.0],[614.0],[977.0],[646.0],[738.0],[975.0],[204.0],[646.0],[669.0],[544.0],[531.0],[220.0],[392.0],[646.0],[646.0],[880.0],[221.0],[583.0],[708.0],[614.0],[220.0],[751.0],[526.0],[630.0],[220.0],[575.0],[326.0],[323.0],[125.0],[646.0],[526.0],[646.0],[646.0],[583.0],[614.0],[991.0],[533.0]
8,[676.0],[544.0],[544.0],[544.0],[429.0],[575.0],[614.0],[544.0],[740.0],[677.0],[544.0],[583.0],[266.0],[460.0],[420.0],[179.0],[646.0],[429.0],[49.0],[460.0],[880.0],[614.0],[975.0],[491.0],[220.0],[501.0],[740.0],[544.0],[898.0],[382.0],[991.0],[544.0],[544.0],[544.0],[635.0],[646.0],[614.0],[614.0],[975.0],[323.0],[614.0],[909.0],[220.0],[544.0],[975.0],[575.0],[608.0],[246.0],[236.0],[561.0],[977.0],[614.0],[614.0],[614.0],[189.0],[740.0],[561.0],[420.0],[608.0],[179.0],[544.0],[14.0],[23.0],[975.0],[706.0],[808.0],[179.0],[14.0],[471.0],[174.0],[525.0],[436.0],[179.0],[933.0],[314.0],[544.0],[37.0],[608.0],[285.0],[179.0],[285.0],[614.0],[382.0],[978.0],[646.0],[583.0],[880.0],[35.0],[614.0],[822.0],[471.0],[544.0],[471.0],[977.0],[880.0],[221.0],[646.0],[544.0],[220.0],[323.0]
9,[997.0],[507.0],[955.0],[822.0],[575.0],[179.0],[520.0],[460.0],[732.0],[654.0],[793.0],[544.0],[323.0],[179.0],[740.0],[826.0],[49.0],[442.0],[575.0],[921.0],[544.0],[167.0],[323.0],[544.0],[247.0],[894.0],[583.0],[853.0],[259.0],[583.0],[179.0],[704.0],[436.0],[822.0],[708.0],[323.0],[975.0],[961.0],[880.0],[880.0],[38.0],[471.0],[37.0],[641.0],[583.0],[869.0],[544.0],[544.0],[520.0],[977.0],[323.0],[991.0],[646.0],[14.0],[568.0],[250.0],[880.0],[880.0],[583.0],[544.0],[388.0],[670.0],[822.0],[501.0],[520.0],[220.0],[933.0],[382.0],[869.0],[677.0],[323.0],[575.0],[520.0],[879.0],[179.0],[179.0],[471.0],[932.0],[471.0],[227.0],[977.0],[460.0],[544.0],[266.0],[568.0],[156.0],[252.0],[474.0],[740.0],[471.0],[826.0],[179.0],[975.0],[880.0],[471.0],[323.0],[179.0],[822.0],[978.0],[396.0]
