Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[226.0],[553.0],[142.0],[842.0],[139.0],[236.0],[467.0],[498.0],[237.0],[905.0],[504.0],[905.0],[642.0],[13.0],[345.0],[375.0],[226.0],[642.0],[231.0],[539.0],[373.0],[653.0],[226.0],[129.0],[619.0],[399.0],[599.0],[244.0],[60.0],[642.0],[957.0],[602.0],[340.0],[676.0],[390.0],[538.0],[798.0],[248.0],[631.0],[794.0],[166.0],[390.0],[139.0],[669.0],[226.0],[242.0],[273.0],[84.0],[676.0],[538.0],[758.0],[890.0],[916.0],[823.0],[524.0],[345.0],[131.0],[463.0],[139.0],[428.0],[155.0],[669.0],[886.0],[739.0],[453.0],[866.0],[894.0],[957.0],[345.0],[142.0],[614.0],[823.0],[696.0],[957.0],[433.0],[236.0],[453.0],[345.0],[840.0],[840.0],[593.0],[696.0],[139.0],[642.0],[739.0],[130.0],[411.0],[498.0],[453.0],[76.0],[594.0],[504.0],[580.0],[245.0],[846.0],[138.0],[866.0],[580.0],[524.0],[798.0]
1,[142.0],[741.0],[17.0],[377.0],[148.0],[947.0],[693.0],[981.0],[340.0],[338.0],[106.0],[248.0],[631.0],[411.0],[93.0],[888.0],[176.0],[829.0],[693.0],[204.0],[700.0],[739.0],[84.0],[807.0],[705.0],[195.0],[640.0],[895.0],[823.0],[463.0],[383.0],[504.0],[642.0],[377.0],[553.0],[631.0],[729.0],[629.0],[804.0],[162.0],[73.0],[653.0],[411.0],[152.0],[185.0],[377.0],[739.0],[142.0],[428.0],[453.0],[488.0],[590.0],[204.0],[430.0],[631.0],[129.0],[848.0],[553.0],[390.0],[722.0],[416.0],[453.0],[157.0],[72.0],[377.0],[629.0],[828.0],[402.0],[273.0],[480.0],[704.0],[516.0],[201.0],[556.0],[390.0],[384.0],[531.0],[293.0],[656.0],[829.0],[162.0],[248.0],[375.0],[693.0],[746.0],[204.0],[975.0],[479.0],[176.0],[669.0],[537.0],[284.0],[363.0],[333.0],[538.0],[805.0],[60.0],[479.0],[510.0],[993.0]
2,[415.0],[866.0],[383.0],[896.0],[687.0],[986.0],[563.0],[798.0],[881.0],[89.0],[248.0],[236.0],[687.0],[986.0],[612.0],[866.0],[142.0],[687.0],[82.0],[673.0],[829.0],[409.0],[829.0],[846.0],[273.0],[139.0],[905.0],[725.0],[30.0],[46.0],[97.0],[625.0],[804.0],[594.0],[590.0],[955.0],[453.0],[233.0],[646.0],[706.0],[769.0],[468.0],[605.0],[435.0],[881.0],[139.0],[594.0],[139.0],[696.0],[986.0],[319.0],[389.0],[753.0],[428.0],[739.0],[586.0],[693.0],[755.0],[185.0],[866.0],[693.0],[688.0],[1.0],[305.0],[158.0],[273.0],[204.0],[74.0],[589.0],[894.0],[821.0],[673.0],[975.0],[86.0],[71.0],[273.0],[807.0],[139.0],[381.0],[684.0],[700.0],[779.0],[463.0],[490.0],[804.0],[965.0],[332.0],[364.0],[697.0],[453.0],[629.0],[211.0],[965.0],[829.0],[886.0],[204.0],[642.0],[330.0],[96.0],[676.0]
3,[995.0],[823.0],[706.0],[504.0],[39.0],[277.0],[932.0],[965.0],[201.0],[247.0],[223.0],[60.0],[30.0],[840.0],[236.0],[292.0],[685.0],[676.0],[253.0],[273.0],[201.0],[106.0],[640.0],[433.0],[666.0],[160.0],[673.0],[423.0],[226.0],[538.0],[56.0],[469.0],[127.0],[749.0],[647.0],[215.0],[128.0],[392.0],[957.0],[953.0],[162.0],[950.0],[534.0],[340.0],[837.0],[905.0],[176.0],[436.0],[884.0],[705.0],[624.0],[631.0],[158.0],[755.0],[874.0],[508.0],[170.0],[590.0],[804.0],[72.0],[909.0],[696.0],[244.0],[70.0],[892.0],[822.0],[63.0],[886.0],[765.0],[138.0],[35.0],[829.0],[846.0],[187.0],[846.0],[925.0],[305.0],[905.0],[936.0],[243.0],[477.0],[142.0],[965.0],[70.0],[155.0],[608.0],[656.0],[682.0],[913.0],[687.0],[504.0],[739.0],[266.0],[788.0],[537.0],[477.0],[949.0],[338.0],[558.0],[652.0]
4,[534.0],[819.0],[194.0],[412.0],[914.0],[612.0],[120.0],[363.0],[274.0],[84.0],[389.0],[837.0],[676.0],[589.0],[187.0],[312.0],[875.0],[903.0],[899.0],[754.0],[139.0],[614.0],[558.0],[452.0],[696.0],[673.0],[559.0],[823.0],[324.0],[615.0],[253.0],[410.0],[652.0],[141.0],[247.0],[992.0],[835.0],[265.0],[411.0],[846.0],[380.0],[230.0],[630.0],[273.0],[804.0],[791.0],[563.0],[32.0],[864.0],[861.0],[435.0],[390.0],[874.0],[832.0],[253.0],[816.0],[126.0],[81.0],[991.0],[594.0],[681.0],[782.0],[419.0],[729.0],[738.0],[185.0],[685.0],[722.0],[583.0],[948.0],[428.0],[819.0],[486.0],[172.0],[138.0],[592.0],[965.0],[903.0],[115.0],[888.0],[767.0],[104.0],[21.0],[292.0],[687.0],[742.0],[409.0],[188.0],[333.0],[427.0],[534.0],[383.0],[531.0],[146.0],[174.0],[84.0],[57.0],[807.0],[249.0],[949.0]
5,[227.0],[855.0],[755.0],[612.0],[427.0],[117.0],[974.0],[583.0],[990.0],[51.0],[531.0],[881.0],[185.0],[259.0],[957.0],[575.0],[234.0],[723.0],[835.0],[866.0],[486.0],[109.0],[274.0],[729.0],[291.0],[197.0],[152.0],[965.0],[245.0],[953.0],[936.0],[567.0],[524.0],[236.0],[763.0],[738.0],[477.0],[769.0],[456.0],[631.0],[330.0],[965.0],[474.0],[352.0],[773.0],[754.0],[204.0],[739.0],[253.0],[715.0],[15.0],[842.0],[755.0],[445.0],[160.0],[204.0],[886.0],[954.0],[977.0],[604.0],[464.0],[243.0],[614.0],[905.0],[769.0],[965.0],[324.0],[797.0],[244.0],[950.0],[504.0],[798.0],[955.0],[25.0],[631.0],[472.0],[112.0],[570.0],[537.0],[481.0],[92.0],[204.0],[840.0],[800.0],[410.0],[905.0],[628.0],[22.0],[529.0],[553.0],[486.0],[909.0],[409.0],[975.0],[330.0],[57.0],[416.0],[195.0],[299.0],[905.0]
6,[230.0],[872.0],[276.0],[743.0],[138.0],[615.0],[776.0],[188.0],[904.0],[486.0],[502.0],[794.0],[349.0],[965.0],[173.0],[965.0],[960.0],[553.0],[581.0],[739.0],[236.0],[950.0],[773.0],[884.0],[849.0],[207.0],[377.0],[586.0],[741.0],[955.0],[695.0],[890.0],[59.0],[975.0],[706.0],[644.0],[245.0],[581.0],[633.0],[955.0],[942.0],[832.0],[95.0],[874.0],[796.0],[991.0],[769.0],[650.0],[352.0],[170.0],[847.0],[957.0],[86.0],[577.0],[247.0],[842.0],[422.0],[158.0],[101.0],[871.0],[866.0],[919.0],[903.0],[531.0],[693.0],[130.0],[508.0],[633.0],[676.0],[188.0],[381.0],[291.0],[537.0],[519.0],[76.0],[432.0],[567.0],[452.0],[328.0],[353.0],[433.0],[860.0],[399.0],[652.0],[452.0],[504.0],[207.0],[641.0],[180.0],[673.0],[739.0],[769.0],[17.0],[104.0],[804.0],[524.0],[637.0],[505.0],[243.0],[772.0]
7,[21.0],[861.0],[389.0],[861.0],[840.0],[812.0],[719.0],[97.0],[798.0],[270.0],[104.0],[886.0],[754.0],[593.0],[130.0],[134.0],[848.0],[652.0],[614.0],[185.0],[170.0],[612.0],[162.0],[17.0],[975.0],[652.0],[630.0],[553.0],[871.0],[295.0],[618.0],[479.0],[435.0],[766.0],[305.0],[599.0],[575.0],[685.0],[330.0],[381.0],[229.0],[399.0],[409.0],[324.0],[823.0],[531.0],[794.0],[427.0],[618.0],[851.0],[457.0],[612.0],[160.0],[502.0],[211.0],[831.0],[694.0],[666.0],[599.0],[477.0],[11.0],[182.0],[427.0],[428.0],[17.0],[243.0],[988.0],[860.0],[448.0],[931.0],[829.0],[96.0],[188.0],[329.0],[986.0],[500.0],[625.0],[673.0],[508.0],[593.0],[508.0],[864.0],[819.0],[861.0],[986.0],[165.0],[887.0],[590.0],[871.0],[526.0],[226.0],[860.0],[459.0],[32.0],[791.0],[226.0],[231.0],[410.0],[339.0],[593.0]
8,[633.0],[807.0],[832.0],[113.0],[981.0],[575.0],[326.0],[207.0],[913.0],[349.0],[211.0],[201.0],[201.0],[383.0],[382.0],[705.0],[498.0],[273.0],[807.0],[230.0],[292.0],[498.0],[365.0],[849.0],[233.0],[293.0],[653.0],[529.0],[335.0],[602.0],[405.0],[96.0],[593.0],[581.0],[144.0],[498.0],[586.0],[525.0],[296.0],[233.0],[831.0],[614.0],[884.0],[811.0],[417.0],[524.0],[903.0],[263.0],[195.0],[128.0],[978.0],[66.0],[99.0],[831.0],[706.0],[499.0],[66.0],[811.0],[119.0],[231.0],[243.0],[640.0],[553.0],[477.0],[33.0],[580.0],[693.0],[590.0],[694.0],[660.0],[866.0],[534.0],[580.0],[365.0],[903.0],[918.0],[417.0],[467.0],[422.0],[943.0],[595.0],[580.0],[949.0],[715.0],[903.0],[71.0],[42.0],[463.0],[435.0],[194.0],[687.0],[807.0],[215.0],[965.0],[1.0],[534.0],[249.0],[163.0],[536.0],[345.0]
9,[270.0],[510.0],[163.0],[633.0],[978.0],[173.0],[230.0],[1.0],[816.0],[155.0],[129.0],[562.0],[227.0],[339.0],[16.0],[673.0],[459.0],[190.0],[118.0],[142.0],[349.0],[503.0],[631.0],[173.0],[516.0],[928.0],[637.0],[193.0],[265.0],[139.0],[748.0],[807.0],[888.0],[189.0],[842.0],[481.0],[340.0],[419.0],[722.0],[505.0],[808.0],[620.0],[779.0],[829.0],[633.0],[581.0],[933.0],[411.0],[17.0],[67.0],[293.0],[872.0],[666.0],[118.0],[245.0],[236.0],[426.0],[739.0],[811.0],[905.0],[794.0],[769.0],[684.0],[155.0],[330.0],[417.0],[352.0],[743.0],[162.0],[716.0],[96.0],[612.0],[899.0],[903.0],[452.0],[40.0],[436.0],[189.0],[129.0],[35.0],[298.0],[333.0],[146.0],[682.0],[905.0],[886.0],[336.0],[257.0],[547.0],[500.0],[650.0],[708.0],[380.0],[520.0],[96.0],[655.0],[130.0],[159.0],[520.0],[732.0]
