Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[372.0],[437.0],[437.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[372.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[372.0],[437.0],[437.0],[372.0],[437.0],[372.0],[437.0],[437.0],[372.0],[437.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[372.0],[437.0],[437.0],[372.0],[437.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[372.0],[437.0],[437.0],[437.0],[372.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[372.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[437.0],[372.0],[437.0],[437.0],[437.0],[437.0],[437.0],[303.0],[437.0],[437.0],[437.0],[372.0],[5.0],[303.0],[437.0],[437.0],[372.0],[372.0],[372.0],[372.0],[437.0]
1,[437.0],[333.0],[372.0],[437.0],[303.0],[372.0],[303.0],[372.0],[372.0],[301.0],[372.0],[372.0],[303.0],[437.0],[437.0],[372.0],[372.0],[5.0],[303.0],[301.0],[303.0],[372.0],[372.0],[303.0],[372.0],[437.0],[303.0],[372.0],[303.0],[372.0],[303.0],[372.0],[372.0],[303.0],[303.0],[372.0],[303.0],[5.0],[5.0],[437.0],[303.0],[437.0],[372.0],[372.0],[372.0],[301.0],[372.0],[303.0],[372.0],[437.0],[301.0],[372.0],[372.0],[437.0],[301.0],[372.0],[303.0],[372.0],[5.0],[372.0],[372.0],[372.0],[303.0],[303.0],[372.0],[303.0],[372.0],[372.0],[303.0],[372.0],[303.0],[303.0],[303.0],[372.0],[301.0],[303.0],[372.0],[372.0],[303.0],[303.0],[303.0],[303.0],[372.0],[303.0],[303.0],[372.0],[317.0],[372.0],[372.0],[301.0],[437.0],[24.0],[333.0],[303.0],[372.0],[303.0],[303.0],[437.0],[24.0],[303.0]
2,[333.0],[303.0],[301.0],[5.0],[301.0],[303.0],[301.0],[529.0],[301.0],[529.0],[303.0],[303.0],[333.0],[301.0],[301.0],[303.0],[303.0],[303.0],[529.0],[529.0],[5.0],[5.0],[303.0],[352.0],[303.0],[303.0],[301.0],[303.0],[301.0],[303.0],[301.0],[303.0],[303.0],[301.0],[301.0],[301.0],[333.0],[303.0],[301.0],[301.0],[529.0],[301.0],[303.0],[303.0],[303.0],[529.0],[333.0],[5.0],[303.0],[303.0],[303.0],[303.0],[303.0],[303.0],[24.0],[301.0],[5.0],[303.0],[24.0],[303.0],[303.0],[301.0],[24.0],[5.0],[303.0],[301.0],[303.0],[301.0],[301.0],[301.0],[24.0],[301.0],[5.0],[303.0],[529.0],[5.0],[303.0],[303.0],[301.0],[5.0],[301.0],[301.0],[303.0],[301.0],[301.0],[303.0],[5.0],[303.0],[303.0],[303.0],[301.0],[136.0],[301.0],[301.0],[303.0],[529.0],[5.0],[301.0],[301.0],[301.0]
3,[301.0],[5.0],[333.0],[333.0],[333.0],[5.0],[332.0],[301.0],[5.0],[24.0],[332.0],[5.0],[301.0],[5.0],[24.0],[5.0],[529.0],[333.0],[301.0],[24.0],[301.0],[303.0],[5.0],[317.0],[529.0],[301.0],[5.0],[529.0],[24.0],[301.0],[24.0],[5.0],[301.0],[529.0],[529.0],[303.0],[5.0],[333.0],[303.0],[5.0],[5.0],[24.0],[5.0],[529.0],[5.0],[5.0],[24.0],[301.0],[529.0],[333.0],[24.0],[5.0],[301.0],[301.0],[352.0],[24.0],[301.0],[529.0],[301.0],[301.0],[5.0],[332.0],[301.0],[301.0],[301.0],[529.0],[24.0],[303.0],[333.0],[303.0],[301.0],[529.0],[333.0],[5.0],[24.0],[301.0],[301.0],[301.0],[317.0],[301.0],[5.0],[5.0],[333.0],[529.0],[529.0],[301.0],[36.0],[301.0],[529.0],[24.0],[303.0],[473.0],[5.0],[5.0],[529.0],[301.0],[301.0],[24.0],[5.0],[5.0]
4,[5.0],[301.0],[303.0],[136.0],[24.0],[301.0],[24.0],[24.0],[27.0],[5.0],[317.0],[301.0],[5.0],[317.0],[317.0],[301.0],[36.0],[529.0],[36.0],[5.0],[333.0],[301.0],[24.0],[530.0],[301.0],[333.0],[317.0],[24.0],[36.0],[5.0],[317.0],[301.0],[529.0],[24.0],[24.0],[5.0],[136.0],[301.0],[24.0],[36.0],[24.0],[317.0],[301.0],[301.0],[301.0],[396.0],[301.0],[24.0],[301.0],[136.0],[520.0],[301.0],[24.0],[333.0],[317.0],[332.0],[332.0],[317.0],[529.0],[529.0],[301.0],[27.0],[5.0],[332.0],[24.0],[136.0],[301.0],[136.0],[136.0],[135.0],[333.0],[317.0],[36.0],[301.0],[36.0],[24.0],[5.0],[333.0],[529.0],[24.0],[529.0],[135.0],[5.0],[24.0],[24.0],[529.0],[530.0],[529.0],[301.0],[136.0],[333.0],[529.0],[136.0],[317.0],[24.0],[5.0],[36.0],[317.0],[36.0],[24.0]
5,[24.0],[136.0],[5.0],[301.0],[136.0],[24.0],[317.0],[317.0],[317.0],[135.0],[5.0],[332.0],[24.0],[69.0],[36.0],[333.0],[5.0],[36.0],[5.0],[317.0],[529.0],[332.0],[317.0],[374.0],[136.0],[24.0],[396.0],[301.0],[317.0],[317.0],[36.0],[332.0],[36.0],[27.0],[317.0],[317.0],[24.0],[136.0],[333.0],[27.0],[36.0],[5.0],[352.0],[5.0],[36.0],[317.0],[529.0],[317.0],[24.0],[301.0],[529.0],[27.0],[332.0],[136.0],[473.0],[352.0],[529.0],[5.0],[27.0],[24.0],[24.0],[529.0],[317.0],[317.0],[36.0],[24.0],[36.0],[27.0],[529.0],[317.0],[136.0],[5.0],[317.0],[24.0],[5.0],[529.0],[333.0],[317.0],[24.0],[333.0],[317.0],[24.0],[301.0],[317.0],[317.0],[24.0],[27.0],[24.0],[36.0],[36.0],[136.0],[27.0],[24.0],[333.0],[301.0],[36.0],[529.0],[5.0],[69.0],[317.0]
6,[136.0],[24.0],[24.0],[529.0],[529.0],[332.0],[306.0],[36.0],[36.0],[27.0],[27.0],[24.0],[136.0],[36.0],[135.0],[136.0],[317.0],[317.0],[317.0],[36.0],[24.0],[529.0],[396.0],[306.0],[24.0],[136.0],[374.0],[5.0],[27.0],[36.0],[374.0],[352.0],[5.0],[5.0],[5.0],[36.0],[317.0],[529.0],[530.0],[396.0],[317.0],[473.0],[317.0],[36.0],[333.0],[22.0],[36.0],[333.0],[36.0],[36.0],[317.0],[529.0],[317.0],[69.0],[36.0],[27.0],[317.0],[530.0],[396.0],[36.0],[529.0],[317.0],[36.0],[69.0],[317.0],[36.0],[373.0],[317.0],[27.0],[352.0],[36.0],[24.0],[136.0],[317.0],[317.0],[36.0],[473.0],[5.0],[36.0],[530.0],[530.0],[529.0],[24.0],[5.0],[36.0],[5.0],[520.0],[5.0],[69.0],[5.0],[24.0],[530.0],[36.0],[529.0],[36.0],[317.0],[317.0],[135.0],[530.0],[27.0]
7,[529.0],[317.0],[136.0],[306.0],[36.0],[36.0],[396.0],[5.0],[396.0],[317.0],[158.0],[317.0],[69.0],[27.0],[473.0],[352.0],[374.0],[136.0],[473.0],[473.0],[317.0],[317.0],[530.0],[355.0],[5.0],[529.0],[373.0],[69.0],[530.0],[520.0],[396.0],[27.0],[135.0],[317.0],[36.0],[27.0],[36.0],[317.0],[36.0],[135.0],[396.0],[158.0],[27.0],[374.0],[529.0],[133.0],[473.0],[529.0],[5.0],[473.0],[473.0],[36.0],[27.0],[529.0],[530.0],[317.0],[396.0],[473.0],[309.0],[317.0],[317.0],[36.0],[530.0],[473.0],[374.0],[5.0],[27.0],[5.0],[36.0],[36.0],[5.0],[36.0],[530.0],[352.0],[530.0],[317.0],[36.0],[36.0],[396.0],[529.0],[135.0],[317.0],[136.0],[473.0],[5.0],[317.0],[306.0],[36.0],[5.0],[317.0],[317.0],[317.0],[529.0],[36.0],[5.0],[530.0],[530.0],[36.0],[374.0],[69.0]
8,[317.0],[27.0],[317.0],[473.0],[317.0],[317.0],[374.0],[374.0],[473.0],[36.0],[530.0],[529.0],[317.0],[396.0],[530.0],[36.0],[396.0],[473.0],[530.0],[135.0],[36.0],[396.0],[27.0],[394.0],[36.0],[317.0],[98.0],[135.0],[135.0],[374.0],[135.0],[317.0],[27.0],[36.0],[27.0],[135.0],[473.0],[36.0],[529.0],[402.0],[22.0],[396.0],[396.0],[473.0],[136.0],[374.0],[520.0],[36.0],[317.0],[396.0],[396.0],[317.0],[36.0],[289.0],[355.0],[36.0],[374.0],[135.0],[306.0],[135.0],[136.0],[396.0],[374.0],[36.0],[530.0],[317.0],[473.0],[36.0],[317.0],[24.0],[473.0],[374.0],[396.0],[333.0],[473.0],[396.0],[317.0],[520.0],[374.0],[473.0],[527.0],[36.0],[317.0],[36.0],[530.0],[473.0],[135.0],[27.0],[24.0],[530.0],[530.0],[396.0],[27.0],[24.0],[396.0],[374.0],[135.0],[473.0],[135.0],[396.0]
9,[396.0],[473.0],[36.0],[396.0],[374.0],[396.0],[309.0],[355.0],[264.0],[373.0],[396.0],[396.0],[530.0],[135.0],[396.0],[317.0],[520.0],[158.0],[264.0],[396.0],[396.0],[530.0],[473.0],[473.0],[317.0],[36.0],[473.0],[36.0],[514.0],[135.0],[333.0],[24.0],[317.0],[396.0],[98.0],[396.0],[520.0],[374.0],[317.0],[473.0],[527.0],[264.0],[36.0],[135.0],[530.0],[135.0],[530.0],[473.0],[396.0],[158.0],[36.0],[373.0],[529.0],[317.0],[529.0],[373.0],[473.0],[396.0],[394.0],[530.0],[473.0],[473.0],[264.0],[27.0],[473.0],[473.0],[120.0],[355.0],[530.0],[27.0],[317.0],[135.0],[473.0],[36.0],[135.0],[136.0],[136.0],[158.0],[520.0],[22.0],[394.0],[374.0],[374.0],[158.0],[374.0],[374.0],[158.0],[317.0],[317.0],[473.0],[389.0],[22.0],[317.0],[396.0],[373.0],[135.0],[333.0],[396.0],[103.0],[473.0]
