Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[258.0],[151.0],[1574.0],[258.0],[1434.0],[258.0],[480.0],[92.0],[1435.0],[258.0],[652.0],[92.0],[480.0],[1574.0],[480.0],[151.0],[480.0],[861.0],[1081.0],[258.0],[1574.0],[1434.0],[258.0],[92.0],[1244.0],[1244.0],[651.0],[151.0],[258.0],[1244.0],[651.0],[1574.0],[1574.0],[480.0],[652.0],[258.0],[92.0],[258.0],[151.0],[1244.0],[151.0],[151.0],[1574.0],[151.0],[151.0],[1434.0],[258.0],[1574.0],[652.0],[1435.0],[480.0],[480.0],[151.0],[480.0],[1435.0],[258.0],[151.0],[258.0],[244.0],[92.0],[258.0],[1081.0],[1244.0],[151.0],[151.0],[833.0],[861.0],[151.0],[258.0],[861.0],[151.0],[258.0],[1081.0],[1574.0],[480.0],[723.0],[480.0],[1244.0],[151.0],[151.0],[244.0],[480.0],[92.0],[1435.0],[1081.0],[151.0],[1574.0],[480.0],[258.0],[480.0],[1434.0],[258.0],[151.0],[1435.0],[1574.0],[1434.0],[1244.0],[151.0],[151.0],[1081.0]
1,[1081.0],[1235.0],[151.0],[1081.0],[151.0],[1434.0],[151.0],[1435.0],[92.0],[1435.0],[1574.0],[1131.0],[400.0],[151.0],[151.0],[1081.0],[91.0],[480.0],[151.0],[92.0],[151.0],[1574.0],[92.0],[480.0],[1321.0],[151.0],[652.0],[1081.0],[652.0],[258.0],[151.0],[151.0],[1435.0],[151.0],[1434.0],[1435.0],[151.0],[480.0],[92.0],[258.0],[1081.0],[92.0],[1081.0],[1081.0],[652.0],[861.0],[480.0],[151.0],[151.0],[92.0],[861.0],[1081.0],[480.0],[258.0],[151.0],[652.0],[1435.0],[480.0],[151.0],[480.0],[1574.0],[258.0],[151.0],[480.0],[91.0],[1235.0],[1244.0],[1574.0],[998.0],[652.0],[1574.0],[651.0],[151.0],[258.0],[1244.0],[151.0],[151.0],[258.0],[1081.0],[92.0],[480.0],[151.0],[258.0],[1081.0],[151.0],[1081.0],[1435.0],[151.0],[1081.0],[258.0],[1081.0],[1435.0],[480.0],[151.0],[151.0],[92.0],[258.0],[92.0],[1299.0],[151.0]
2,[1434.0],[1434.0],[1081.0],[1558.0],[1081.0],[1081.0],[1244.0],[258.0],[1081.0],[652.0],[151.0],[151.0],[151.0],[652.0],[1081.0],[1434.0],[1244.0],[151.0],[83.0],[1434.0],[1081.0],[151.0],[1081.0],[151.0],[92.0],[92.0],[1079.0],[480.0],[1081.0],[1081.0],[83.0],[1434.0],[1079.0],[1079.0],[151.0],[1081.0],[1081.0],[92.0],[1435.0],[92.0],[480.0],[1434.0],[92.0],[480.0],[480.0],[151.0],[1081.0],[1435.0],[92.0],[652.0],[1244.0],[151.0],[1244.0],[1244.0],[1081.0],[92.0],[1081.0],[92.0],[1435.0],[1081.0],[1081.0],[92.0],[1235.0],[652.0],[1434.0],[151.0],[151.0],[1081.0],[1435.0],[92.0],[92.0],[92.0],[1244.0],[1081.0],[1081.0],[652.0],[92.0],[480.0],[1434.0],[1434.0],[92.0],[1244.0],[652.0],[92.0],[480.0],[1244.0],[258.0],[1081.0],[1434.0],[1244.0],[151.0],[92.0],[92.0],[1081.0],[1079.0],[151.0],[1079.0],[1299.0],[1434.0],[480.0]
3,[45.0],[1081.0],[861.0],[92.0],[92.0],[86.0],[652.0],[1081.0],[1574.0],[1299.0],[92.0],[1435.0],[92.0],[1435.0],[1244.0],[92.0],[151.0],[1244.0],[652.0],[1270.0],[1434.0],[258.0],[244.0],[652.0],[258.0],[291.0],[1574.0],[652.0],[480.0],[1299.0],[1081.0],[169.0],[92.0],[92.0],[1574.0],[1574.0],[1370.0],[1081.0],[1081.0],[1081.0],[92.0],[1081.0],[258.0],[92.0],[723.0],[1235.0],[151.0],[730.0],[1574.0],[151.0],[92.0],[1244.0],[1299.0],[652.0],[1299.0],[1435.0],[169.0],[652.0],[672.0],[151.0],[652.0],[1235.0],[258.0],[1574.0],[651.0],[1435.0],[92.0],[1018.0],[1574.0],[1434.0],[1370.0],[1434.0],[652.0],[353.0],[833.0],[1434.0],[1081.0],[1081.0],[730.0],[1244.0],[463.0],[652.0],[1081.0],[480.0],[92.0],[1558.0],[94.0],[396.0],[652.0],[1435.0],[1574.0],[1079.0],[1244.0],[1316.0],[92.0],[1081.0],[92.0],[480.0],[92.0],[1299.0]
4,[652.0],[652.0],[92.0],[1244.0],[652.0],[652.0],[1299.0],[480.0],[151.0],[1081.0],[672.0],[652.0],[652.0],[1081.0],[1316.0],[652.0],[1018.0],[1299.0],[244.0],[1081.0],[1299.0],[480.0],[652.0],[1574.0],[1081.0],[1081.0],[1434.0],[1435.0],[126.0],[1574.0],[652.0],[1081.0],[1299.0],[1244.0],[1081.0],[652.0],[480.0],[1319.0],[652.0],[651.0],[83.0],[1235.0],[1474.0],[652.0],[1081.0],[258.0],[1017.0],[86.0],[1434.0],[1081.0],[151.0],[1018.0],[1372.0],[1081.0],[92.0],[1299.0],[652.0],[1244.0],[451.0],[142.0],[1435.0],[652.0],[92.0],[92.0],[1370.0],[1081.0],[1114.0],[92.0],[535.0],[1235.0],[1558.0],[1299.0],[1574.0],[92.0],[652.0],[1081.0],[244.0],[652.0],[1299.0],[258.0],[1081.0],[243.0],[151.0],[652.0],[754.0],[692.0],[652.0],[291.0],[92.0],[1081.0],[1299.0],[1235.0],[1299.0],[1299.0],[1316.0],[1299.0],[226.0],[1244.0],[480.0],[86.0]
5,[1558.0],[281.0],[1407.0],[169.0],[291.0],[1235.0],[1372.0],[1244.0],[1270.0],[1235.0],[584.0],[258.0],[1081.0],[1372.0],[106.0],[258.0],[1081.0],[83.0],[1299.0],[652.0],[730.0],[92.0],[651.0],[1435.0],[480.0],[833.0],[1299.0],[17.0],[92.0],[92.0],[1299.0],[86.0],[258.0],[1370.0],[92.0],[151.0],[652.0],[1018.0],[1574.0],[1299.0],[1018.0],[291.0],[339.0],[1435.0],[1244.0],[92.0],[1244.0],[672.0],[1370.0],[651.0],[1299.0],[91.0],[1081.0],[226.0],[652.0],[1081.0],[1574.0],[1081.0],[695.0],[1434.0],[1299.0],[861.0],[1017.0],[1081.0],[258.0],[651.0],[1081.0],[1434.0],[1081.0],[1081.0],[1081.0],[1081.0],[1435.0],[1434.0],[723.0],[258.0],[400.0],[1434.0],[1574.0],[1017.0],[652.0],[889.0],[1244.0],[151.0],[142.0],[651.0],[1299.0],[889.0],[1574.0],[1018.0],[92.0],[652.0],[1372.0],[1244.0],[672.0],[83.0],[652.0],[451.0],[926.0],[559.0]
6,[1299.0],[91.0],[169.0],[45.0],[1235.0],[400.0],[705.0],[169.0],[480.0],[92.0],[1081.0],[672.0],[1435.0],[92.0],[652.0],[544.0],[652.0],[1081.0],[723.0],[1574.0],[684.0],[1370.0],[396.0],[1051.0],[1114.0],[1434.0],[92.0],[92.0],[169.0],[480.0],[1574.0],[652.0],[1244.0],[1574.0],[1558.0],[226.0],[1244.0],[1574.0],[1372.0],[672.0],[1244.0],[1018.0],[1299.0],[1299.0],[1270.0],[1081.0],[652.0],[1079.0],[400.0],[553.0],[1081.0],[169.0],[1018.0],[723.0],[1574.0],[169.0],[258.0],[1114.0],[652.0],[127.0],[1244.0],[169.0],[1079.0],[353.0],[1244.0],[1017.0],[480.0],[1165.0],[92.0],[442.0],[1228.0],[1244.0],[692.0],[151.0],[1017.0],[1574.0],[1299.0],[1574.0],[672.0],[1079.0],[1299.0],[1081.0],[1434.0],[169.0],[1244.0],[91.0],[480.0],[1474.0],[353.0],[92.0],[1372.0],[861.0],[1081.0],[672.0],[1435.0],[1244.0],[861.0],[1574.0],[1081.0],[243.0]
7,[1244.0],[81.0],[652.0],[1235.0],[1299.0],[353.0],[795.0],[1017.0],[354.0],[151.0],[1299.0],[1081.0],[1235.0],[1017.0],[1235.0],[1235.0],[1299.0],[1435.0],[480.0],[480.0],[396.0],[120.0],[1574.0],[1081.0],[33.0],[1235.0],[1312.0],[1114.0],[1574.0],[672.0],[442.0],[396.0],[1018.0],[652.0],[244.0],[400.0],[1299.0],[652.0],[480.0],[1434.0],[564.0],[1299.0],[652.0],[243.0],[106.0],[400.0],[169.0],[1558.0],[672.0],[1299.0],[690.0],[1558.0],[258.0],[1435.0],[169.0],[684.0],[429.0],[1299.0],[480.0],[1244.0],[226.0],[1017.0],[652.0],[106.0],[1079.0],[169.0],[652.0],[652.0],[226.0],[151.0],[1435.0],[652.0],[672.0],[652.0],[243.0],[226.0],[83.0],[1558.0],[92.0],[1574.0],[258.0],[730.0],[544.0],[396.0],[652.0],[652.0],[1079.0],[1574.0],[1299.0],[169.0],[480.0],[1156.0],[652.0],[1574.0],[652.0],[652.0],[291.0],[261.0],[83.0],[106.0]
8,[151.0],[480.0],[1435.0],[1018.0],[169.0],[151.0],[1081.0],[730.0],[169.0],[226.0],[1434.0],[833.0],[169.0],[169.0],[415.0],[281.0],[1434.0],[92.0],[291.0],[1244.0],[1256.0],[1081.0],[291.0],[1018.0],[652.0],[1299.0],[557.0],[1574.0],[1558.0],[169.0],[291.0],[1372.0],[652.0],[1434.0],[442.0],[515.0],[554.0],[243.0],[1299.0],[652.0],[1558.0],[1319.0],[1316.0],[258.0],[557.0],[480.0],[1434.0],[1244.0],[649.0],[672.0],[1017.0],[258.0],[86.0],[442.0],[723.0],[281.0],[723.0],[1435.0],[396.0],[291.0],[442.0],[1244.0],[1435.0],[1017.0],[1235.0],[92.0],[554.0],[1319.0],[652.0],[169.0],[1017.0],[1235.0],[723.0],[169.0],[1299.0],[1299.0],[1312.0],[354.0],[169.0],[83.0],[1235.0],[92.0],[1018.0],[1558.0],[1319.0],[1299.0],[723.0],[672.0],[120.0],[1574.0],[396.0],[151.0],[1470.0],[998.0],[1299.0],[480.0],[515.0],[1079.0],[724.0],[83.0]
9,[86.0],[1299.0],[651.0],[624.0],[1558.0],[480.0],[126.0],[1558.0],[396.0],[480.0],[120.0],[1235.0],[1131.0],[1244.0],[1434.0],[480.0],[1321.0],[120.0],[861.0],[281.0],[169.0],[652.0],[144.0],[544.0],[151.0],[1017.0],[151.0],[1558.0],[1434.0],[239.0],[127.0],[480.0],[1558.0],[1131.0],[1018.0],[480.0],[1131.0],[396.0],[1558.0],[690.0],[42.0],[1244.0],[442.0],[169.0],[33.0],[652.0],[86.0],[325.0],[515.0],[480.0],[1434.0],[1235.0],[672.0],[1558.0],[291.0],[1235.0],[515.0],[291.0],[258.0],[1558.0],[151.0],[1574.0],[480.0],[33.0],[244.0],[480.0],[169.0],[480.0],[1244.0],[684.0],[672.0],[19.0],[1114.0],[1178.0],[151.0],[480.0],[1574.0],[226.0],[584.0],[480.0],[1131.0],[723.0],[723.0],[1574.0],[1558.0],[1434.0],[226.0],[1372.0],[127.0],[802.0],[169.0],[1244.0],[1131.0],[92.0],[1244.0],[1370.0],[1435.0],[1372.0],[1235.0],[1244.0]
