Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[262.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[478.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0]
1,[209.0],[262.0],[209.0],[262.0],[179.0],[262.0],[262.0],[262.0],[262.0],[262.0],[478.0],[262.0],[262.0],[478.0],[209.0],[262.0],[209.0],[262.0],[262.0],[262.0],[262.0],[478.0],[262.0],[262.0],[262.0],[262.0],[209.0],[262.0],[179.0],[262.0],[262.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[478.0],[471.0],[262.0],[179.0],[262.0],[262.0],[478.0],[262.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[478.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[478.0],[262.0],[179.0],[179.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[654.0],[262.0],[262.0],[382.0],[478.0],[262.0],[262.0],[262.0],[209.0],[209.0],[262.0],[262.0],[262.0],[262.0],[209.0],[262.0],[209.0],[262.0],[179.0],[262.0],[179.0],[262.0],[209.0],[262.0],[262.0],[262.0],[209.0],[262.0],[262.0],[262.0]
2,[74.0],[478.0],[544.0],[478.0],[262.0],[977.0],[478.0],[179.0],[478.0],[668.0],[262.0],[478.0],[471.0],[869.0],[113.0],[977.0],[471.0],[478.0],[179.0],[977.0],[478.0],[262.0],[478.0],[179.0],[646.0],[179.0],[977.0],[179.0],[74.0],[478.0],[478.0],[755.0],[977.0],[478.0],[478.0],[478.0],[478.0],[262.0],[179.0],[179.0],[262.0],[478.0],[74.0],[262.0],[478.0],[179.0],[668.0],[668.0],[478.0],[478.0],[654.0],[478.0],[262.0],[179.0],[544.0],[668.0],[544.0],[544.0],[668.0],[755.0],[977.0],[708.0],[262.0],[478.0],[478.0],[668.0],[478.0],[179.0],[478.0],[471.0],[262.0],[478.0],[478.0],[262.0],[262.0],[179.0],[179.0],[478.0],[977.0],[544.0],[179.0],[179.0],[478.0],[74.0],[977.0],[478.0],[471.0],[478.0],[262.0],[478.0],[630.0],[478.0],[74.0],[179.0],[668.0],[668.0],[74.0],[179.0],[478.0],[179.0]
3,[478.0],[646.0],[478.0],[646.0],[252.0],[478.0],[668.0],[668.0],[668.0],[478.0],[179.0],[668.0],[179.0],[236.0],[668.0],[179.0],[478.0],[646.0],[74.0],[478.0],[668.0],[755.0],[646.0],[646.0],[478.0],[544.0],[478.0],[544.0],[822.0],[668.0],[668.0],[429.0],[478.0],[442.0],[668.0],[74.0],[668.0],[762.0],[985.0],[977.0],[110.0],[74.0],[478.0],[654.0],[544.0],[977.0],[478.0],[478.0],[378.0],[880.0],[977.0],[646.0],[708.0],[74.0],[478.0],[822.0],[478.0],[478.0],[755.0],[221.0],[179.0],[262.0],[583.0],[74.0],[471.0],[478.0],[74.0],[668.0],[668.0],[525.0],[460.0],[654.0],[544.0],[755.0],[933.0],[74.0],[74.0],[668.0],[478.0],[822.0],[74.0],[544.0],[544.0],[478.0],[478.0],[223.0],[478.0],[74.0],[583.0],[668.0],[262.0],[668.0],[709.0],[646.0],[478.0],[478.0],[478.0],[668.0],[646.0],[74.0]
4,[117.0],[755.0],[382.0],[755.0],[478.0],[755.0],[755.0],[583.0],[755.0],[284.0],[31.0],[755.0],[568.0],[646.0],[374.0],[79.0],[525.0],[544.0],[822.0],[654.0],[420.0],[248.0],[755.0],[822.0],[977.0],[822.0],[37.0],[374.0],[478.0],[179.0],[654.0],[646.0],[755.0],[583.0],[869.0],[654.0],[755.0],[822.0],[71.0],[822.0],[583.0],[654.0],[252.0],[677.0],[880.0],[220.0],[323.0],[471.0],[471.0],[646.0],[167.0],[654.0],[880.0],[583.0],[382.0],[478.0],[708.0],[382.0],[471.0],[646.0],[79.0],[909.0],[478.0],[755.0],[374.0],[471.0],[755.0],[822.0],[755.0],[478.0],[478.0],[646.0],[654.0],[740.0],[654.0],[252.0],[125.0],[179.0],[236.0],[671.0],[822.0],[822.0],[755.0],[471.0],[79.0],[179.0],[221.0],[471.0],[575.0],[179.0],[583.0],[755.0],[478.0],[822.0],[583.0],[630.0],[252.0],[583.0],[179.0],[220.0]
5,[471.0],[13.0],[909.0],[285.0],[471.0],[236.0],[471.0],[478.0],[471.0],[609.0],[412.0],[44.0],[822.0],[179.0],[471.0],[220.0],[646.0],[141.0],[478.0],[79.0],[471.0],[471.0],[167.0],[478.0],[614.0],[442.0],[199.0],[708.0],[575.0],[525.0],[429.0],[575.0],[79.0],[221.0],[471.0],[471.0],[471.0],[471.0],[14.0],[236.0],[478.0],[471.0],[471.0],[933.0],[382.0],[397.0],[471.0],[740.0],[869.0],[3.0],[220.0],[37.0],[525.0],[478.0],[869.0],[977.0],[179.0],[646.0],[740.0],[526.0],[220.0],[478.0],[525.0],[967.0],[738.0],[909.0],[575.0],[478.0],[775.0],[646.0],[933.0],[975.0],[708.0],[977.0],[110.0],[478.0],[478.0],[977.0],[125.0],[501.0],[478.0],[708.0],[708.0],[179.0],[646.0],[436.0],[646.0],[179.0],[478.0],[909.0],[478.0],[77.0],[471.0],[478.0],[977.0],[125.0],[575.0],[478.0],[520.0],[478.0]
6,[396.0],[544.0],[179.0],[544.0],[769.0],[646.0],[397.0],[471.0],[875.0],[471.0],[977.0],[977.0],[646.0],[875.0],[179.0],[478.0],[125.0],[285.0],[471.0],[646.0],[179.0],[614.0],[544.0],[544.0],[471.0],[478.0],[234.0],[478.0],[624.0],[977.0],[977.0],[460.0],[646.0],[296.0],[179.0],[701.0],[614.0],[533.0],[544.0],[478.0],[646.0],[220.0],[822.0],[220.0],[808.0],[471.0],[583.0],[125.0],[544.0],[583.0],[740.0],[544.0],[583.0],[471.0],[646.0],[323.0],[646.0],[471.0],[894.0],[122.0],[478.0],[608.0],[869.0],[471.0],[708.0],[525.0],[635.0],[977.0],[471.0],[677.0],[266.0],[220.0],[220.0],[501.0],[544.0],[471.0],[471.0],[880.0],[646.0],[179.0],[575.0],[478.0],[646.0],[630.0],[179.0],[575.0],[708.0],[708.0],[869.0],[977.0],[437.0],[977.0],[614.0],[977.0],[250.0],[471.0],[167.0],[862.0],[826.0],[471.0]
7,[423.0],[614.0],[646.0],[167.0],[614.0],[614.0],[847.0],[679.0],[614.0],[392.0],[880.0],[614.0],[478.0],[583.0],[740.0],[646.0],[130.0],[179.0],[533.0],[220.0],[526.0],[246.0],[221.0],[624.0],[407.0],[646.0],[646.0],[387.0],[889.0],[764.0],[220.0],[614.0],[669.0],[323.0],[996.0],[220.0],[63.0],[769.0],[382.0],[646.0],[531.0],[738.0],[544.0],[646.0],[583.0],[869.0],[544.0],[250.0],[179.0],[544.0],[146.0],[220.0],[977.0],[420.0],[113.0],[880.0],[975.0],[220.0],[847.0],[708.0],[623.0],[977.0],[646.0],[614.0],[759.0],[709.0],[977.0],[323.0],[614.0],[991.0],[583.0],[242.0],[646.0],[854.0],[220.0],[393.0],[847.0],[975.0],[575.0],[751.0],[562.0],[436.0],[156.0],[382.0],[575.0],[646.0],[635.0],[544.0],[526.0],[204.0],[79.0],[614.0],[501.0],[740.0],[961.0],[709.0],[977.0],[977.0],[500.0],[630.0]
8,[382.0],[429.0],[37.0],[614.0],[382.0],[575.0],[544.0],[420.0],[544.0],[544.0],[236.0],[706.0],[635.0],[575.0],[544.0],[429.0],[991.0],[842.0],[323.0],[49.0],[583.0],[975.0],[614.0],[323.0],[220.0],[221.0],[179.0],[614.0],[561.0],[822.0],[978.0],[898.0],[575.0],[471.0],[583.0],[608.0],[544.0],[544.0],[460.0],[323.0],[933.0],[14.0],[460.0],[14.0],[646.0],[677.0],[975.0],[544.0],[568.0],[179.0],[575.0],[35.0],[179.0],[113.0],[285.0],[740.0],[471.0],[179.0],[544.0],[614.0],[646.0],[614.0],[113.0],[544.0],[544.0],[544.0],[614.0],[975.0],[544.0],[220.0],[285.0],[544.0],[471.0],[614.0],[314.0],[614.0],[501.0],[909.0],[740.0],[646.0],[977.0],[646.0],[614.0],[544.0],[608.0],[608.0],[544.0],[267.0],[977.0],[174.0],[420.0],[975.0],[491.0],[266.0],[975.0],[643.0],[808.0],[420.0],[575.0],[880.0]
9,[583.0],[442.0],[471.0],[961.0],[544.0],[740.0],[493.0],[740.0],[822.0],[179.0],[520.0],[520.0],[708.0],[740.0],[388.0],[575.0],[179.0],[960.0],[396.0],[575.0],[156.0],[544.0],[38.0],[880.0],[601.0],[323.0],[933.0],[646.0],[977.0],[471.0],[266.0],[220.0],[436.0],[826.0],[544.0],[544.0],[822.0],[179.0],[921.0],[525.0],[394.0],[382.0],[179.0],[808.0],[179.0],[654.0],[501.0],[179.0],[227.0],[520.0],[179.0],[474.0],[282.0],[544.0],[471.0],[250.0],[869.0],[37.0],[250.0],[460.0],[49.0],[167.0],[471.0],[436.0],[853.0],[955.0],[991.0],[880.0],[822.0],[978.0],[977.0],[501.0],[975.0],[520.0],[179.0],[14.0],[894.0],[471.0],[732.0],[568.0],[323.0],[323.0],[471.0],[704.0],[906.0],[346.0],[738.0],[822.0],[113.0],[677.0],[113.0],[822.0],[544.0],[323.0],[323.0],[568.0],[220.0],[113.0],[525.0],[252.0]
