Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99,Sim_100,Sim_101,Sim_102,Sim_103,Sim_104,Sim_105,Sim_106,Sim_107,Sim_108,Sim_109,Sim_110,Sim_111,Sim_112,Sim_113,Sim_114,Sim_115,Sim_116,Sim_117,Sim_118,Sim_119,Sim_120,Sim_121,Sim_122,Sim_123,Sim_124
0,[262.0],[209.0],[209.0],[262.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[209.0],[209.0],[209.0],[262.0],[262.0],[209.0],[262.0],[209.0],[209.0],[209.0],[262.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[262.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[478.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[262.0],[262.0],[209.0],[209.0],[262.0]
1,[209.0],[262.0],[179.0],[209.0],[262.0],[262.0],[209.0],[262.0],[262.0],[262.0],[209.0],[262.0],[262.0],[262.0],[262.0],[262.0],[471.0],[209.0],[113.0],[113.0],[262.0],[209.0],[209.0],[822.0],[209.0],[262.0],[262.0],[262.0],[209.0],[262.0],[209.0],[262.0],[262.0],[262.0],[262.0],[262.0],[230.0],[262.0],[262.0],[209.0],[262.0],[262.0],[262.0],[179.0],[262.0],[262.0],[209.0],[262.0],[209.0],[209.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[179.0],[262.0],[262.0],[262.0],[262.0],[262.0],[113.0],[209.0],[755.0],[262.0],[262.0],[654.0],[262.0],[262.0],[262.0],[220.0],[262.0],[262.0],[209.0],[262.0],[614.0],[262.0],[262.0],[909.0],[209.0],[262.0],[262.0],[478.0],[262.0],[209.0],[262.0],[262.0],[262.0],[262.0],[179.0],[262.0],[262.0],[262.0],[262.0],[179.0],[382.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[262.0],[262.0],[880.0],[262.0],[262.0],[262.0],[209.0],[209.0],[262.0],[262.0],[262.0],[209.0],[262.0],[614.0],[209.0],[209.0],[262.0],[179.0],[209.0]
2,[520.0],[478.0],[221.0],[933.0],[179.0],[220.0],[110.0],[179.0],[179.0],[755.0],[668.0],[179.0],[179.0],[179.0],[179.0],[762.0],[179.0],[382.0],[262.0],[262.0],[179.0],[975.0],[471.0],[262.0],[113.0],[179.0],[478.0],[179.0],[382.0],[762.0],[671.0],[933.0],[478.0],[220.0],[471.0],[179.0],[478.0],[676.0],[179.0],[471.0],[614.0],[220.0],[179.0],[630.0],[179.0],[977.0],[575.0],[977.0],[79.0],[471.0],[646.0],[471.0],[179.0],[583.0],[179.0],[220.0],[262.0],[179.0],[977.0],[890.0],[179.0],[755.0],[192.0],[382.0],[262.0],[179.0],[478.0],[262.0],[614.0],[179.0],[762.0],[262.0],[478.0],[880.0],[37.0],[478.0],[262.0],[179.0],[668.0],[526.0],[708.0],[478.0],[583.0],[262.0],[478.0],[382.0],[179.0],[755.0],[471.0],[179.0],[262.0],[478.0],[471.0],[755.0],[179.0],[74.0],[262.0],[220.0],[220.0],[755.0],[220.0],[388.0],[478.0],[880.0],[880.0],[608.0],[822.0],[442.0],[262.0],[478.0],[179.0],[755.0],[991.0],[544.0],[880.0],[179.0],[762.0],[991.0],[575.0],[677.0],[991.0],[933.0],[179.0],[262.0],[566.0]
3,[179.0],[668.0],[262.0],[520.0],[544.0],[471.0],[762.0],[471.0],[887.0],[977.0],[755.0],[575.0],[471.0],[471.0],[977.0],[471.0],[985.0],[179.0],[875.0],[248.0],[382.0],[478.0],[478.0],[3.0],[668.0],[471.0],[74.0],[471.0],[179.0],[382.0],[478.0],[179.0],[668.0],[382.0],[478.0],[638.0],[262.0],[478.0],[977.0],[478.0],[471.0],[471.0],[898.0],[262.0],[471.0],[478.0],[478.0],[478.0],[74.0],[478.0],[478.0],[179.0],[471.0],[471.0],[252.0],[382.0],[110.0],[575.0],[478.0],[471.0],[977.0],[668.0],[767.0],[179.0],[668.0],[471.0],[544.0],[460.0],[471.0],[382.0],[544.0],[478.0],[544.0],[471.0],[179.0],[646.0],[677.0],[544.0],[478.0],[961.0],[179.0],[623.0],[372.0],[442.0],[668.0],[179.0],[267.0],[382.0],[179.0],[74.0],[252.0],[668.0],[179.0],[471.0],[977.0],[822.0],[755.0],[471.0],[575.0],[471.0],[471.0],[478.0],[668.0],[471.0],[37.0],[179.0],[382.0],[179.0],[650.0],[544.0],[977.0],[933.0],[179.0],[478.0],[977.0],[977.0],[471.0],[179.0],[179.0],[478.0],[932.0],[179.0],[544.0],[429.0],[179.0]
4,[170.0],[488.0],[961.0],[646.0],[822.0],[478.0],[167.0],[583.0],[668.0],[869.0],[471.0],[252.0],[125.0],[252.0],[37.0],[501.0],[71.0],[141.0],[478.0],[478.0],[284.0],[533.0],[73.0],[478.0],[374.0],[284.0],[755.0],[314.0],[704.0],[501.0],[166.0],[531.0],[412.0],[862.0],[880.0],[259.0],[114.0],[74.0],[37.0],[525.0],[709.0],[478.0],[668.0],[583.0],[374.0],[160.0],[579.0],[654.0],[204.0],[436.0],[977.0],[670.0],[507.0],[177.0],[668.0],[478.0],[583.0],[909.0],[755.0],[179.0],[538.0],[420.0],[478.0],[704.0],[420.0],[125.0],[880.0],[478.0],[709.0],[252.0],[501.0],[913.0],[954.0],[31.0],[392.0],[544.0],[478.0],[234.0],[323.0],[478.0],[668.0],[646.0],[478.0],[762.0],[654.0],[646.0],[74.0],[869.0],[740.0],[822.0],[478.0],[179.0],[583.0],[420.0],[378.0],[478.0],[525.0],[478.0],[478.0],[420.0],[478.0],[544.0],[869.0],[393.0],[650.0],[496.0],[3.0],[252.0],[74.0],[654.0],[822.0],[869.0],[271.0],[382.0],[885.0],[583.0],[501.0],[252.0],[396.0],[262.0],[668.0],[520.0],[822.0],[961.0],[271.0]
5,[544.0],[969.0],[583.0],[633.0],[442.0],[73.0],[250.0],[221.0],[378.0],[478.0],[740.0],[646.0],[740.0],[456.0],[220.0],[289.0],[14.0],[646.0],[668.0],[79.0],[775.0],[74.0],[654.0],[74.0],[471.0],[221.0],[471.0],[583.0],[646.0],[704.0],[668.0],[646.0],[654.0],[478.0],[898.0],[74.0],[250.0],[412.0],[583.0],[654.0],[478.0],[416.0],[88.0],[478.0],[221.0],[762.0],[646.0],[79.0],[869.0],[221.0],[614.0],[740.0],[125.0],[478.0],[643.0],[928.0],[478.0],[630.0],[79.0],[297.0],[822.0],[775.0],[262.0],[646.0],[246.0],[873.0],[382.0],[933.0],[478.0],[130.0],[478.0],[74.0],[654.0],[478.0],[74.0],[141.0],[630.0],[457.0],[471.0],[262.0],[189.0],[755.0],[544.0],[984.0],[429.0],[400.0],[252.0],[775.0],[583.0],[478.0],[471.0],[977.0],[740.0],[567.0],[955.0],[575.0],[977.0],[836.0],[826.0],[478.0],[928.0],[755.0],[471.0],[478.0],[147.0],[544.0],[478.0],[668.0],[478.0],[624.0],[236.0],[520.0],[668.0],[646.0],[478.0],[874.0],[478.0],[932.0],[646.0],[442.0],[478.0],[646.0],[708.0],[822.0],[668.0]
6,[373.0],[755.0],[95.0],[474.0],[478.0],[975.0],[74.0],[646.0],[526.0],[79.0],[894.0],[14.0],[646.0],[221.0],[478.0],[478.0],[544.0],[400.0],[954.0],[854.0],[646.0],[654.0],[447.0],[504.0],[179.0],[646.0],[397.0],[221.0],[822.0],[646.0],[815.0],[125.0],[488.0],[130.0],[221.0],[252.0],[755.0],[947.0],[623.0],[266.0],[365.0],[517.0],[822.0],[437.0],[646.0],[37.0],[654.0],[646.0],[478.0],[646.0],[659.0],[822.0],[221.0],[221.0],[629.0],[775.0],[646.0],[646.0],[646.0],[961.0],[236.0],[478.0],[694.0],[425.0],[478.0],[853.0],[808.0],[266.0],[740.0],[646.0],[540.0],[643.0],[708.0],[740.0],[374.0],[285.0],[646.0],[478.0],[583.0],[613.0],[583.0],[554.0],[78.0],[230.0],[977.0],[822.0],[914.0],[646.0],[883.0],[575.0],[769.0],[880.0],[894.0],[739.0],[79.0],[624.0],[854.0],[740.0],[646.0],[221.0],[740.0],[148.0],[179.0],[740.0],[74.0],[583.0],[646.0],[815.0],[298.0],[442.0],[478.0],[646.0],[491.0],[220.0],[236.0],[236.0],[8.0],[668.0],[583.0],[921.0],[133.0],[822.0],[478.0],[502.0],[374.0]
7,[583.0],[816.0],[478.0],[145.0],[646.0],[646.0],[478.0],[478.0],[478.0],[920.0],[847.0],[904.0],[811.0],[646.0],[646.0],[221.0],[382.0],[508.0],[284.0],[252.0],[478.0],[130.0],[221.0],[651.0],[740.0],[457.0],[847.0],[646.0],[172.0],[478.0],[89.0],[898.0],[486.0],[646.0],[646.0],[478.0],[575.0],[252.0],[478.0],[646.0],[221.0],[221.0],[478.0],[79.0],[478.0],[715.0],[14.0],[220.0],[573.0],[755.0],[220.0],[646.0],[646.0],[883.0],[478.0],[646.0],[531.0],[415.0],[629.0],[221.0],[478.0],[203.0],[896.0],[822.0],[421.0],[740.0],[583.0],[583.0],[646.0],[478.0],[442.0],[564.0],[739.0],[646.0],[478.0],[179.0],[295.0],[31.0],[544.0],[382.0],[478.0],[721.0],[883.0],[608.0],[220.0],[343.0],[478.0],[478.0],[646.0],[941.0],[614.0],[975.0],[966.0],[478.0],[478.0],[889.0],[501.0],[646.0],[14.0],[646.0],[646.0],[425.0],[967.0],[646.0],[478.0],[674.0],[400.0],[478.0],[378.0],[906.0],[646.0],[971.0],[220.0],[471.0],[35.0],[64.0],[975.0],[478.0],[478.0],[122.0],[378.0],[478.0],[436.0],[478.0],[272.0]
8,[671.0],[698.0],[471.0],[478.0],[323.0],[853.0],[400.0],[496.0],[838.0],[35.0],[544.0],[478.0],[478.0],[478.0],[933.0],[646.0],[460.0],[220.0],[20.0],[979.0],[898.0],[498.0],[646.0],[501.0],[800.0],[478.0],[507.0],[478.0],[177.0],[624.0],[211.0],[478.0],[696.0],[691.0],[16.0],[447.0],[31.0],[965.0],[720.0],[380.0],[646.0],[646.0],[71.0],[420.0],[998.0],[510.0],[145.0],[429.0],[471.0],[462.0],[471.0],[478.0],[424.0],[156.0],[548.0],[924.0],[933.0],[478.0],[624.0],[583.0],[646.0],[767.0],[252.0],[140.0],[608.0],[646.0],[646.0],[285.0],[561.0],[238.0],[282.0],[484.0],[31.0],[378.0],[837.0],[676.0],[894.0],[382.0],[568.0],[755.0],[905.0],[428.0],[156.0],[822.0],[978.0],[478.0],[541.0],[138.0],[522.0],[561.0],[382.0],[909.0],[646.0],[975.0],[369.0],[561.0],[614.0],[552.0],[179.0],[677.0],[924.0],[823.0],[583.0],[378.0],[378.0],[966.0],[211.0],[292.0],[667.0],[370.0],[323.0],[478.0],[478.0],[179.0],[378.0],[478.0],[646.0],[26.0],[854.0],[323.0],[26.0],[749.0],[646.0],[382.0],[478.0]
9,[741.0],[953.0],[833.0],[614.0],[221.0],[179.0],[205.0],[632.0],[504.0],[220.0],[250.0],[769.0],[649.0],[393.0],[14.0],[624.0],[457.0],[478.0],[166.0],[435.0],[944.0],[575.0],[141.0],[179.0],[571.0],[944.0],[544.0],[548.0],[478.0],[583.0],[608.0],[620.0],[250.0],[501.0],[275.0],[526.0],[412.0],[471.0],[325.0],[366.0],[561.0],[893.0],[987.0],[880.0],[149.0],[646.0],[667.0],[575.0],[406.0],[314.0],[534.0],[800.0],[478.0],[646.0],[769.0],[179.0],[394.0],[314.0],[575.0],[646.0],[358.0],[220.0],[854.0],[478.0],[839.0],[478.0],[994.0],[977.0],[961.0],[769.0],[583.0],[179.0],[897.0],[3.0],[471.0],[424.0],[323.0],[169.0],[501.0],[86.0],[684.0],[436.0],[442.0],[577.0],[110.0],[371.0],[14.0],[220.0],[478.0],[977.0],[460.0],[775.0],[478.0],[646.0],[646.0],[977.0],[37.0],[501.0],[898.0],[287.0],[179.0],[708.0],[544.0],[491.0],[667.0],[478.0],[501.0],[769.0],[471.0],[620.0],[525.0],[225.0],[199.0],[392.0],[667.0],[646.0],[282.0],[393.0],[869.0],[179.0],[429.0],[110.0],[323.0],[415.0],[541.0]
