Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[82.0],[8.0],[55.0],[93.0],[3.0],[3.0],[37.0],[66.0],[37.0],[69.0],[66.0],[51.0],[3.0],[7.0],[7.0],[59.0],[51.0],[3.0],[34.0],[22.0],[6.0],[86.0],[51.0],[69.0],[67.0],[41.0],[6.0],[49.0],[14.0],[51.0],[13.0],[7.0],[87.0],[81.0],[7.0],[11.0],[3.0],[55.0],[37.0],[85.0],[14.0],[35.0],[11.0],[3.0],[55.0],[44.0],[84.0],[67.0],[67.0],[81.0],[51.0],[65.0],[51.0],[78.0],[28.0],[3.0],[31.0],[69.0],[8.0],[18.0],[18.0],[48.0],[59.0],[92.0],[37.0],[7.0],[7.0],[93.0],[14.0],[6.0],[10.0],[84.0],[13.0],[10.0],[3.0],[69.0],[69.0],[13.0],[16.0],[86.0],[55.0],[3.0],[7.0],[13.0],[69.0],[79.0],[44.0],[13.0],[88.0],[66.0],[80.0],[31.0],[84.0],[81.0],[3.0],[37.0],[68.0],[59.0],[7.0],[1.0]
1,[6.0],[13.0],[7.0],[6.0],[13.0],[93.0],[7.0],[3.0],[34.0],[82.0],[44.0],[3.0],[82.0],[13.0],[6.0],[18.0],[13.0],[6.0],[40.0],[92.0],[13.0],[40.0],[84.0],[59.0],[41.0],[48.0],[66.0],[48.0],[11.0],[14.0],[6.0],[8.0],[98.0],[6.0],[55.0],[7.0],[78.0],[86.0],[11.0],[41.0],[22.0],[10.0],[41.0],[6.0],[8.0],[78.0],[3.0],[6.0],[11.0],[80.0],[84.0],[59.0],[48.0],[51.0],[51.0],[80.0],[55.0],[14.0],[13.0],[3.0],[81.0],[66.0],[66.0],[55.0],[7.0],[78.0],[37.0],[6.0],[11.0],[8.0],[66.0],[6.0],[3.0],[55.0],[6.0],[67.0],[66.0],[7.0],[3.0],[78.0],[80.0],[81.0],[59.0],[65.0],[51.0],[7.0],[14.0],[3.0],[84.0],[59.0],[38.0],[6.0],[81.0],[11.0],[8.0],[6.0],[59.0],[3.0],[13.0],[43.0]
2,[93.0],[6.0],[81.0],[48.0],[14.0],[69.0],[65.0],[69.0],[66.0],[7.0],[11.0],[6.0],[93.0],[55.0],[3.0],[34.0],[14.0],[15.0],[6.0],[7.0],[22.0],[55.0],[78.0],[66.0],[14.0],[53.0],[69.0],[6.0],[13.0],[7.0],[8.0],[13.0],[6.0],[3.0],[95.0],[81.0],[7.0],[3.0],[7.0],[3.0],[37.0],[98.0],[55.0],[2.0],[6.0],[66.0],[45.0],[37.0],[13.0],[68.0],[3.0],[93.0],[78.0],[3.0],[27.0],[7.0],[40.0],[37.0],[3.0],[69.0],[34.0],[69.0],[93.0],[3.0],[69.0],[11.0],[31.0],[7.0],[41.0],[3.0],[59.0],[3.0],[8.0],[37.0],[7.0],[13.0],[52.0],[41.0],[55.0],[61.0],[69.0],[34.0],[52.0],[41.0],[6.0],[72.0],[86.0],[55.0],[14.0],[69.0],[3.0],[14.0],[59.0],[8.0],[7.0],[78.0],[52.0],[11.0],[82.0],[69.0]
3,[55.0],[65.0],[3.0],[55.0],[31.0],[78.0],[66.0],[44.0],[13.0],[3.0],[67.0],[8.0],[87.0],[66.0],[78.0],[78.0],[81.0],[78.0],[78.0],[28.0],[79.0],[82.0],[93.0],[72.0],[34.0],[93.0],[13.0],[13.0],[10.0],[6.0],[22.0],[6.0],[13.0],[69.0],[93.0],[48.0],[34.0],[79.0],[8.0],[44.0],[3.0],[3.0],[68.0],[97.0],[3.0],[93.0],[78.0],[13.0],[78.0],[7.0],[7.0],[3.0],[3.0],[71.0],[7.0],[44.0],[81.0],[66.0],[6.0],[81.0],[7.0],[92.0],[78.0],[6.0],[3.0],[92.0],[93.0],[89.0],[8.0],[69.0],[13.0],[13.0],[93.0],[6.0],[68.0],[93.0],[7.0],[82.0],[48.0],[38.0],[34.0],[7.0],[37.0],[44.0],[83.0],[52.0],[7.0],[15.0],[7.0],[84.0],[6.0],[48.0],[7.0],[88.0],[82.0],[11.0],[48.0],[7.0],[6.0],[3.0]
4,[23.0],[48.0],[48.0],[61.0],[34.0],[34.0],[93.0],[92.0],[93.0],[34.0],[51.0],[15.0],[69.0],[48.0],[13.0],[22.0],[3.0],[98.0],[98.0],[78.0],[69.0],[3.0],[11.0],[52.0],[11.0],[3.0],[37.0],[3.0],[93.0],[82.0],[44.0],[3.0],[3.0],[59.0],[14.0],[59.0],[92.0],[48.0],[48.0],[92.0],[69.0],[31.0],[92.0],[14.0],[84.0],[94.0],[11.0],[78.0],[3.0],[52.0],[34.0],[11.0],[6.0],[2.0],[48.0],[34.0],[7.0],[34.0],[14.0],[8.0],[37.0],[6.0],[13.0],[67.0],[80.0],[51.0],[3.0],[55.0],[10.0],[59.0],[91.0],[78.0],[94.0],[84.0],[69.0],[6.0],[11.0],[84.0],[7.0],[34.0],[13.0],[22.0],[68.0],[22.0],[3.0],[13.0],[78.0],[34.0],[82.0],[41.0],[37.0],[59.0],[82.0],[3.0],[51.0],[3.0],[7.0],[68.0],[84.0],[21.0]
5,[80.0],[84.0],[82.0],[3.0],[67.0],[18.0],[34.0],[8.0],[3.0],[2.0],[14.0],[7.0],[11.0],[3.0],[48.0],[6.0],[7.0],[11.0],[3.0],[83.0],[8.0],[48.0],[3.0],[6.0],[3.0],[6.0],[48.0],[78.0],[6.0],[11.0],[82.0],[66.0],[52.0],[78.0],[59.0],[31.0],[69.0],[22.0],[65.0],[8.0],[7.0],[13.0],[13.0],[81.0],[95.0],[7.0],[82.0],[93.0],[23.0],[3.0],[2.0],[44.0],[37.0],[13.0],[66.0],[48.0],[78.0],[87.0],[48.0],[92.0],[82.0],[78.0],[82.0],[93.0],[48.0],[67.0],[6.0],[37.0],[6.0],[84.0],[14.0],[67.0],[11.0],[59.0],[14.0],[7.0],[3.0],[3.0],[8.0],[51.0],[53.0],[6.0],[66.0],[92.0],[11.0],[3.0],[93.0],[78.0],[55.0],[3.0],[31.0],[78.0],[6.0],[6.0],[34.0],[12.0],[3.0],[66.0],[3.0],[78.0]
6,[3.0],[40.0],[49.0],[13.0],[11.0],[8.0],[94.0],[59.0],[78.0],[48.0],[7.0],[13.0],[48.0],[68.0],[19.0],[13.0],[8.0],[92.0],[101.0],[6.0],[93.0],[7.0],[41.0],[82.0],[80.0],[44.0],[11.0],[7.0],[84.0],[80.0],[87.0],[48.0],[37.0],[92.0],[6.0],[83.0],[13.0],[7.0],[66.0],[89.0],[59.0],[6.0],[102.0],[44.0],[69.0],[8.0],[13.0],[92.0],[92.0],[6.0],[102.0],[52.0],[55.0],[34.0],[3.0],[32.0],[67.0],[6.0],[68.0],[93.0],[13.0],[14.0],[34.0],[34.0],[41.0],[55.0],[55.0],[13.0],[7.0],[55.0],[92.0],[34.0],[52.0],[53.0],[48.0],[55.0],[82.0],[8.0],[45.0],[3.0],[8.0],[55.0],[48.0],[94.0],[102.0],[98.0],[3.0],[8.0],[22.0],[68.0],[14.0],[102.0],[22.0],[99.0],[6.0],[13.0],[93.0],[6.0],[34.0],[59.0]
7,[13.0],[93.0],[69.0],[69.0],[88.0],[92.0],[13.0],[98.0],[48.0],[13.0],[3.0],[91.0],[14.0],[22.0],[53.0],[82.0],[92.0],[59.0],[13.0],[14.0],[53.0],[6.0],[8.0],[11.0],[6.0],[78.0],[14.0],[11.0],[102.0],[68.0],[88.0],[93.0],[34.0],[37.0],[80.0],[3.0],[2.0],[49.0],[3.0],[102.0],[51.0],[41.0],[3.0],[13.0],[13.0],[59.0],[7.0],[7.0],[48.0],[44.0],[44.0],[14.0],[13.0],[48.0],[37.0],[102.0],[92.0],[7.0],[81.0],[14.0],[66.0],[67.0],[3.0],[78.0],[13.0],[13.0],[48.0],[48.0],[93.0],[13.0],[48.0],[82.0],[6.0],[32.0],[59.0],[95.0],[59.0],[34.0],[93.0],[82.0],[59.0],[48.0],[13.0],[89.0],[34.0],[6.0],[52.0],[48.0],[13.0],[48.0],[59.0],[44.0],[40.0],[59.0],[99.0],[48.0],[34.0],[51.0],[2.0],[13.0]
8,[59.0],[22.0],[13.0],[81.0],[22.0],[98.0],[48.0],[41.0],[8.0],[92.0],[55.0],[49.0],[86.0],[82.0],[93.0],[52.0],[22.0],[97.0],[97.0],[11.0],[34.0],[13.0],[6.0],[37.0],[31.0],[13.0],[93.0],[34.0],[22.0],[102.0],[23.0],[94.0],[19.0],[34.0],[2.0],[6.0],[55.0],[13.0],[93.0],[31.0],[93.0],[66.0],[93.0],[66.0],[48.0],[3.0],[6.0],[40.0],[49.0],[102.0],[22.0],[37.0],[93.0],[65.0],[13.0],[13.0],[34.0],[11.0],[93.0],[22.0],[51.0],[55.0],[48.0],[13.0],[82.0],[48.0],[61.0],[69.0],[22.0],[11.0],[3.0],[48.0],[69.0],[93.0],[13.0],[81.0],[78.0],[22.0],[49.0],[6.0],[93.0],[14.0],[67.0],[7.0],[48.0],[37.0],[6.0],[14.0],[6.0],[7.0],[2.0],[55.0],[37.0],[23.0],[59.0],[93.0],[11.0],[48.0],[52.0],[98.0]
9,[99.0],[92.0],[94.0],[82.0],[81.0],[59.0],[51.0],[13.0],[32.0],[23.0],[93.0],[11.0],[59.0],[95.0],[22.0],[81.0],[69.0],[48.0],[59.0],[59.0],[94.0],[51.0],[12.0],[93.0],[98.0],[52.0],[55.0],[55.0],[68.0],[59.0],[34.0],[34.0],[93.0],[98.0],[102.0],[40.0],[18.0],[82.0],[14.0],[11.0],[52.0],[52.0],[94.0],[93.0],[49.0],[92.0],[93.0],[11.0],[6.0],[48.0],[23.0],[68.0],[94.0],[61.0],[40.0],[14.0],[37.0],[94.0],[55.0],[94.0],[6.0],[59.0],[19.0],[11.0],[6.0],[59.0],[22.0],[22.0],[66.0],[14.0],[102.0],[98.0],[37.0],[34.0],[11.0],[16.0],[86.0],[68.0],[13.0],[11.0],[14.0],[13.0],[3.0],[3.0],[82.0],[34.0],[37.0],[102.0],[48.0],[11.0],[8.0],[93.0],[68.0],[82.0],[102.0],[59.0],[22.0],[101.0],[11.0],[93.0]
