Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[646.0],[709.0],[74.0],[668.0],[762.0],[478.0],[478.0],[822.0],[698.0],[740.0],[179.0],[708.0],[74.0],[646.0],[544.0],[117.0],[755.0],[262.0],[478.0],[646.0],[646.0],[933.0],[646.0],[646.0],[179.0],[478.0],[77.0],[544.0],[179.0],[701.0],[179.0],[471.0],[262.0],[755.0],[262.0],[179.0],[544.0],[520.0],[478.0],[179.0],[179.0],[646.0],[478.0],[74.0],[179.0],[179.0],[179.0],[179.0],[478.0],[478.0],[544.0],[646.0],[614.0],[74.0],[869.0],[262.0],[478.0],[478.0],[668.0],[977.0],[646.0],[654.0],[179.0],[442.0],[179.0],[646.0],[113.0],[609.0],[869.0],[646.0],[478.0],[646.0],[74.0],[478.0],[654.0],[478.0],[668.0],[262.0],[985.0],[708.0],[74.0],[179.0],[262.0],[262.0],[646.0],[646.0],[977.0],[223.0],[646.0],[478.0],[646.0],[478.0],[544.0],[378.0],[478.0],[630.0],[44.0],[759.0],[646.0],[646.0]
1,[478.0],[646.0],[179.0],[478.0],[869.0],[248.0],[755.0],[668.0],[630.0],[179.0],[583.0],[478.0],[708.0],[478.0],[285.0],[646.0],[646.0],[668.0],[262.0],[630.0],[323.0],[478.0],[420.0],[575.0],[646.0],[412.0],[478.0],[179.0],[13.0],[478.0],[646.0],[608.0],[668.0],[708.0],[668.0],[544.0],[199.0],[646.0],[262.0],[262.0],[262.0],[252.0],[262.0],[382.0],[583.0],[822.0],[646.0],[646.0],[975.0],[880.0],[79.0],[894.0],[387.0],[382.0],[646.0],[646.0],[880.0],[646.0],[382.0],[568.0],[575.0],[139.0],[583.0],[296.0],[646.0],[478.0],[646.0],[646.0],[236.0],[909.0],[397.0],[471.0],[708.0],[646.0],[420.0],[646.0],[179.0],[668.0],[71.0],[179.0],[179.0],[646.0],[668.0],[668.0],[250.0],[575.0],[110.0],[436.0],[478.0],[262.0],[323.0],[677.0],[179.0],[478.0],[262.0],[179.0],[478.0],[575.0],[478.0],[478.0]
2,[808.0],[471.0],[382.0],[933.0],[421.0],[755.0],[429.0],[722.0],[826.0],[262.0],[262.0],[880.0],[478.0],[471.0],[179.0],[471.0],[323.0],[209.0],[654.0],[471.0],[209.0],[654.0],[478.0],[661.0],[533.0],[31.0],[262.0],[79.0],[583.0],[646.0],[125.0],[262.0],[478.0],[284.0],[478.0],[583.0],[79.0],[125.0],[429.0],[822.0],[822.0],[471.0],[646.0],[478.0],[525.0],[262.0],[630.0],[583.0],[262.0],[3.0],[478.0],[761.0],[382.0],[125.0],[478.0],[141.0],[533.0],[654.0],[478.0],[482.0],[478.0],[167.0],[575.0],[62.0],[941.0],[575.0],[374.0],[147.0],[262.0],[192.0],[471.0],[478.0],[478.0],[654.0],[646.0],[775.0],[933.0],[822.0],[471.0],[854.0],[382.0],[583.0],[250.0],[764.0],[478.0],[869.0],[520.0],[478.0],[654.0],[13.0],[471.0],[654.0],[79.0],[227.0],[654.0],[437.0],[262.0],[374.0],[996.0],[397.0]
3,[880.0],[491.0],[822.0],[654.0],[471.0],[60.0],[898.0],[382.0],[478.0],[122.0],[668.0],[525.0],[629.0],[654.0],[822.0],[423.0],[933.0],[659.0],[325.0],[478.0],[76.0],[110.0],[526.0],[478.0],[822.0],[179.0],[668.0],[623.0],[394.0],[654.0],[471.0],[946.0],[510.0],[608.0],[179.0],[889.0],[478.0],[478.0],[668.0],[668.0],[668.0],[808.0],[755.0],[654.0],[262.0],[646.0],[220.0],[471.0],[654.0],[262.0],[654.0],[755.0],[624.0],[732.0],[967.0],[478.0],[262.0],[158.0],[13.0],[709.0],[909.0],[76.0],[526.0],[583.0],[822.0],[654.0],[800.0],[284.0],[478.0],[955.0],[877.0],[267.0],[525.0],[875.0],[863.0],[755.0],[822.0],[209.0],[14.0],[525.0],[822.0],[679.0],[961.0],[525.0],[257.0],[79.0],[262.0],[262.0],[471.0],[654.0],[478.0],[262.0],[822.0],[471.0],[646.0],[583.0],[668.0],[478.0],[755.0],[507.0]
4,[575.0],[501.0],[975.0],[285.0],[478.0],[70.0],[460.0],[501.0],[262.0],[526.0],[862.0],[583.0],[654.0],[526.0],[630.0],[837.0],[393.0],[478.0],[646.0],[993.0],[471.0],[314.0],[666.0],[392.0],[471.0],[262.0],[654.0],[822.0],[789.0],[471.0],[894.0],[378.0],[909.0],[931.0],[975.0],[624.0],[262.0],[592.0],[654.0],[54.0],[266.0],[478.0],[247.0],[568.0],[869.0],[624.0],[471.0],[851.0],[453.0],[646.0],[262.0],[740.0],[478.0],[221.0],[471.0],[424.0],[583.0],[471.0],[262.0],[262.0],[79.0],[471.0],[869.0],[478.0],[471.0],[37.0],[740.0],[478.0],[875.0],[471.0],[138.0],[262.0],[262.0],[471.0],[471.0],[471.0],[436.0],[808.0],[262.0],[501.0],[221.0],[602.0],[125.0],[478.0],[525.0],[217.0],[478.0],[575.0],[738.0],[646.0],[702.0],[808.0],[262.0],[262.0],[285.0],[79.0],[654.0],[738.0],[471.0],[755.0]
5,[837.0],[209.0],[262.0],[156.0],[583.0],[262.0],[575.0],[975.0],[933.0],[646.0],[725.0],[262.0],[525.0],[257.0],[262.0],[830.0],[285.0],[534.0],[285.0],[262.0],[478.0],[262.0],[471.0],[262.0],[894.0],[628.0],[870.0],[262.0],[262.0],[49.0],[501.0],[478.0],[204.0],[209.0],[471.0],[415.0],[234.0],[709.0],[978.0],[209.0],[740.0],[167.0],[167.0],[262.0],[209.0],[898.0],[209.0],[209.0],[646.0],[520.0],[429.0],[250.0],[909.0],[478.0],[569.0],[676.0],[623.0],[262.0],[231.0],[382.0],[643.0],[262.0],[262.0],[913.0],[209.0],[220.0],[471.0],[961.0],[525.0],[209.0],[179.0],[708.0],[906.0],[262.0],[838.0],[262.0],[285.0],[250.0],[606.0],[151.0],[262.0],[471.0],[478.0],[471.0],[471.0],[209.0],[933.0],[932.0],[14.0],[307.0],[502.0],[933.0],[429.0],[687.0],[167.0],[141.0],[741.0],[924.0],[436.0],[471.0]
6,[225.0],[614.0],[209.0],[506.0],[262.0],[624.0],[259.0],[430.0],[883.0],[117.0],[209.0],[826.0],[624.0],[708.0],[575.0],[396.0],[209.0],[831.0],[474.0],[704.0],[487.0],[533.0],[156.0],[1.0],[33.0],[645.0],[559.0],[429.0],[869.0],[296.0],[38.0],[431.0],[645.0],[478.0],[775.0],[933.0],[429.0],[471.0],[266.0],[975.0],[209.0],[708.0],[147.0],[487.0],[389.0],[756.0],[412.0],[869.0],[870.0],[583.0],[220.0],[86.0],[171.0],[262.0],[262.0],[285.0],[769.0],[223.0],[227.0],[209.0],[262.0],[740.0],[209.0],[221.0],[708.0],[857.0],[571.0],[471.0],[646.0],[709.0],[604.0],[326.0],[471.0],[30.0],[478.0],[267.0],[209.0],[323.0],[457.0],[614.0],[282.0],[209.0],[975.0],[299.0],[262.0],[262.0],[641.0],[507.0],[262.0],[148.0],[262.0],[496.0],[961.0],[869.0],[961.0],[684.0],[538.0],[262.0],[262.0],[250.0]
7,[79.0],[262.0],[837.0],[68.0],[382.0],[471.0],[209.0],[179.0],[64.0],[671.0],[420.0],[892.0],[262.0],[262.0],[209.0],[478.0],[478.0],[977.0],[923.0],[179.0],[262.0],[220.0],[447.0],[79.0],[396.0],[502.0],[975.0],[853.0],[209.0],[564.0],[209.0],[646.0],[471.0],[977.0],[480.0],[209.0],[752.0],[815.0],[220.0],[323.0],[323.0],[262.0],[221.0],[829.0],[972.0],[209.0],[262.0],[262.0],[326.0],[894.0],[575.0],[471.0],[262.0],[314.0],[583.0],[977.0],[471.0],[209.0],[436.0],[478.0],[179.0],[631.0],[961.0],[262.0],[561.0],[262.0],[262.0],[262.0],[583.0],[525.0],[487.0],[179.0],[838.0],[627.0],[14.0],[473.0],[262.0],[740.0],[959.0],[977.0],[670.0],[740.0],[709.0],[179.0],[538.0],[250.0],[426.0],[608.0],[220.0],[397.0],[961.0],[396.0],[33.0],[221.0],[607.0],[209.0],[520.0],[993.0],[704.0],[262.0]
8,[583.0],[245.0],[323.0],[262.0],[209.0],[975.0],[614.0],[262.0],[130.0],[614.0],[471.0],[471.0],[373.0],[55.0],[323.0],[262.0],[67.0],[614.0],[220.0],[382.0],[568.0],[977.0],[262.0],[544.0],[209.0],[236.0],[471.0],[209.0],[933.0],[220.0],[847.0],[961.0],[449.0],[262.0],[219.0],[420.0],[444.0],[262.0],[800.0],[471.0],[838.0],[659.0],[93.0],[903.0],[141.0],[323.0],[252.0],[314.0],[122.0],[751.0],[779.0],[262.0],[13.0],[95.0],[179.0],[315.0],[947.0],[519.0],[869.0],[220.0],[544.0],[220.0],[354.0],[323.0],[262.0],[325.0],[447.0],[158.0],[575.0],[478.0],[209.0],[209.0],[179.0],[209.0],[220.0],[754.0],[594.0],[471.0],[901.0],[754.0],[209.0],[869.0],[471.0],[520.0],[125.0],[558.0],[646.0],[491.0],[921.0],[429.0],[754.0],[220.0],[737.0],[434.0],[86.0],[262.0],[471.0],[93.0],[460.0],[627.0]
9,[854.0],[398.0],[211.0],[894.0],[436.0],[209.0],[474.0],[709.0],[179.0],[196.0],[821.0],[531.0],[399.0],[209.0],[621.0],[228.0],[262.0],[800.0],[977.0],[209.0],[243.0],[569.0],[583.0],[209.0],[906.0],[520.0],[500.0],[114.0],[786.0],[262.0],[262.0],[739.0],[179.0],[526.0],[209.0],[838.0],[738.0],[221.0],[471.0],[254.0],[977.0],[718.0],[977.0],[209.0],[498.0],[478.0],[677.0],[624.0],[501.0],[896.0],[209.0],[497.0],[372.0],[869.0],[209.0],[209.0],[525.0],[84.0],[100.0],[31.0],[256.0],[209.0],[706.0],[209.0],[215.0],[3.0],[464.0],[474.0],[179.0],[262.0],[677.0],[677.0],[247.0],[220.0],[262.0],[677.0],[323.0],[478.0],[706.0],[262.0],[323.0],[262.0],[26.0],[883.0],[209.0],[478.0],[209.0],[179.0],[865.0],[544.0],[296.0],[296.0],[209.0],[209.0],[977.0],[420.0],[220.0],[209.0],[620.0],[209.0]
