Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[42.0],[756.0],[41.0],[42.0],[42.0],[56.0],[56.0],[56.0],[756.0],[756.0],[168.0],[56.0],[56.0],[56.0],[66.0],[820.0],[756.0],[873.0],[42.0],[168.0],[56.0],[168.0],[42.0],[756.0],[756.0],[41.0],[168.0],[756.0],[168.0],[168.0],[56.0],[34.0],[24.0],[820.0],[168.0],[56.0],[820.0],[56.0],[6.0],[756.0],[24.0],[756.0],[66.0],[756.0],[756.0],[66.0],[168.0],[42.0],[56.0],[798.0],[168.0],[756.0],[168.0],[620.0],[756.0],[56.0],[56.0],[168.0],[756.0],[42.0],[34.0],[41.0],[56.0],[756.0],[820.0],[56.0],[56.0],[56.0],[756.0],[56.0],[756.0],[4.0],[168.0],[66.0],[56.0],[798.0],[66.0],[66.0],[56.0],[168.0],[756.0],[756.0],[890.0],[756.0],[756.0],[168.0],[56.0],[756.0],[168.0],[756.0],[168.0],[820.0],[3.0],[756.0],[42.0],[622.0],[42.0],[168.0],[42.0],[42.0]
1,[756.0],[66.0],[66.0],[756.0],[756.0],[66.0],[756.0],[792.0],[168.0],[506.0],[66.0],[756.0],[168.0],[42.0],[873.0],[42.0],[66.0],[798.0],[66.0],[66.0],[756.0],[42.0],[610.0],[42.0],[66.0],[820.0],[756.0],[66.0],[756.0],[66.0],[66.0],[756.0],[66.0],[171.0],[35.0],[756.0],[66.0],[756.0],[756.0],[66.0],[798.0],[66.0],[798.0],[66.0],[66.0],[503.0],[56.0],[66.0],[66.0],[39.0],[756.0],[503.0],[66.0],[171.0],[42.0],[66.0],[66.0],[4.0],[814.0],[756.0],[56.0],[756.0],[756.0],[66.0],[168.0],[42.0],[820.0],[42.0],[42.0],[168.0],[814.0],[756.0],[4.0],[756.0],[4.0],[42.0],[3.0],[792.0],[66.0],[798.0],[769.0],[66.0],[66.0],[66.0],[42.0],[66.0],[756.0],[42.0],[820.0],[66.0],[756.0],[42.0],[756.0],[66.0],[756.0],[756.0],[756.0],[56.0],[798.0],[120.0]
2,[66.0],[176.0],[756.0],[66.0],[827.0],[756.0],[148.0],[42.0],[610.0],[391.0],[63.0],[66.0],[66.0],[610.0],[35.0],[33.0],[125.0],[66.0],[756.0],[756.0],[66.0],[41.0],[66.0],[168.0],[176.0],[85.0],[610.0],[814.0],[66.0],[756.0],[35.0],[56.0],[798.0],[42.0],[66.0],[176.0],[131.0],[66.0],[66.0],[827.0],[171.0],[799.0],[168.0],[3.0],[753.0],[176.0],[176.0],[12.0],[42.0],[176.0],[66.0],[66.0],[818.0],[828.0],[66.0],[932.0],[792.0],[756.0],[405.0],[168.0],[756.0],[610.0],[828.0],[380.0],[66.0],[798.0],[42.0],[792.0],[66.0],[66.0],[168.0],[42.0],[756.0],[79.0],[756.0],[66.0],[85.0],[42.0],[176.0],[815.0],[380.0],[42.0],[56.0],[56.0],[74.0],[131.0],[66.0],[799.0],[176.0],[380.0],[66.0],[168.0],[380.0],[42.0],[814.0],[391.0],[66.0],[827.0],[620.0],[932.0]
3,[56.0],[393.0],[3.0],[862.0],[66.0],[42.0],[66.0],[946.0],[56.0],[18.0],[797.0],[795.0],[42.0],[820.0],[746.0],[18.0],[792.0],[168.0],[145.0],[559.0],[42.0],[991.0],[391.0],[41.0],[828.0],[166.0],[66.0],[817.0],[754.0],[41.0],[792.0],[820.0],[56.0],[33.0],[503.0],[41.0],[3.0],[42.0],[795.0],[792.0],[56.0],[38.0],[85.0],[604.0],[176.0],[380.0],[798.0],[827.0],[176.0],[756.0],[792.0],[168.0],[503.0],[66.0],[176.0],[42.0],[668.0],[792.0],[753.0],[66.0],[792.0],[753.0],[74.0],[131.0],[69.0],[66.0],[168.0],[176.0],[932.0],[756.0],[56.0],[168.0],[85.0],[42.0],[42.0],[756.0],[792.0],[756.0],[792.0],[756.0],[79.0],[753.0],[798.0],[99.0],[171.0],[69.0],[792.0],[48.0],[66.0],[42.0],[792.0],[66.0],[163.0],[828.0],[56.0],[66.0],[3.0],[756.0],[756.0],[756.0]
4,[792.0],[42.0],[991.0],[391.0],[755.0],[792.0],[798.0],[391.0],[97.0],[42.0],[9.0],[792.0],[74.0],[66.0],[769.0],[168.0],[42.0],[720.0],[56.0],[154.0],[792.0],[66.0],[827.0],[51.0],[3.0],[113.0],[828.0],[380.0],[143.0],[90.0],[797.0],[41.0],[51.0],[792.0],[389.0],[6.0],[792.0],[76.0],[168.0],[166.0],[752.0],[168.0],[890.0],[391.0],[56.0],[39.0],[388.0],[610.0],[862.0],[1019.0],[39.0],[224.0],[39.0],[380.0],[51.0],[610.0],[405.0],[706.0],[171.0],[120.0],[798.0],[56.0],[79.0],[3.0],[176.0],[176.0],[769.0],[391.0],[6.0],[792.0],[792.0],[85.0],[792.0],[754.0],[819.0],[56.0],[991.0],[883.0],[42.0],[176.0],[918.0],[792.0],[756.0],[559.0],[56.0],[63.0],[42.0],[873.0],[873.0],[168.0],[63.0],[56.0],[792.0],[385.0],[795.0],[827.0],[168.0],[41.0],[792.0],[19.0]
5,[753.0],[798.0],[873.0],[56.0],[506.0],[830.0],[173.0],[798.0],[125.0],[56.0],[798.0],[828.0],[756.0],[168.0],[389.0],[819.0],[391.0],[828.0],[827.0],[862.0],[559.0],[23.0],[168.0],[797.0],[56.0],[932.0],[935.0],[171.0],[799.0],[108.0],[873.0],[752.0],[828.0],[502.0],[391.0],[936.0],[720.0],[797.0],[752.0],[391.0],[756.0],[505.0],[974.0],[792.0],[168.0],[873.0],[392.0],[3.0],[43.0],[9.0],[173.0],[228.0],[143.0],[506.0],[6.0],[166.0],[51.0],[108.0],[391.0],[818.0],[932.0],[923.0],[66.0],[391.0],[799.0],[143.0],[176.0],[51.0],[827.0],[42.0],[828.0],[827.0],[42.0],[873.0],[69.0],[131.0],[828.0],[69.0],[99.0],[816.0],[66.0],[819.0],[932.0],[120.0],[66.0],[504.0],[873.0],[85.0],[559.0],[795.0],[504.0],[792.0],[797.0],[168.0],[873.0],[653.0],[798.0],[66.0],[3.0],[391.0]
6,[746.0],[828.0],[42.0],[610.0],[380.0],[29.0],[991.0],[828.0],[616.0],[131.0],[69.0],[751.0],[166.0],[827.0],[506.0],[66.0],[828.0],[51.0],[792.0],[749.0],[51.0],[756.0],[933.0],[792.0],[69.0],[56.0],[754.0],[56.0],[42.0],[74.0],[168.0],[792.0],[176.0],[168.0],[176.0],[798.0],[798.0],[120.0],[48.0],[56.0],[145.0],[792.0],[932.0],[974.0],[97.0],[792.0],[39.0],[584.0],[792.0],[827.0],[163.0],[104.0],[380.0],[166.0],[814.0],[120.0],[559.0],[584.0],[3.0],[43.0],[753.0],[571.0],[791.0],[145.0],[391.0],[828.0],[3.0],[381.0],[380.0],[120.0],[501.0],[176.0],[69.0],[102.0],[873.0],[935.0],[756.0],[380.0],[168.0],[89.0],[39.0],[798.0],[796.0],[171.0],[553.0],[873.0],[797.0],[66.0],[79.0],[936.0],[145.0],[176.0],[571.0],[609.0],[751.0],[514.0],[143.0],[652.0],[932.0],[622.0]
7,[38.0],[74.0],[828.0],[616.0],[792.0],[503.0],[150.0],[154.0],[754.0],[380.0],[932.0],[1019.0],[3.0],[85.0],[3.0],[36.0],[503.0],[42.0],[131.0],[42.0],[797.0],[171.0],[873.0],[97.0],[862.0],[37.0],[69.0],[798.0],[798.0],[42.0],[108.0],[176.0],[389.0],[67.0],[19.0],[827.0],[56.0],[380.0],[63.0],[1.0],[828.0],[890.0],[616.0],[51.0],[42.0],[751.0],[43.0],[168.0],[504.0],[395.0],[97.0],[827.0],[19.0],[38.0],[932.0],[117.0],[148.0],[559.0],[66.0],[56.0],[79.0],[154.0],[173.0],[56.0],[143.0],[873.0],[991.0],[873.0],[792.0],[380.0],[873.0],[51.0],[795.0],[799.0],[168.0],[148.0],[176.0],[873.0],[389.0],[571.0],[56.0],[828.0],[939.0],[797.0],[176.0],[991.0],[44.0],[44.0],[754.0],[748.0],[37.0],[69.0],[991.0],[56.0],[828.0],[56.0],[176.0],[19.0],[795.0],[553.0]
8,[873.0],[228.0],[797.0],[176.0],[56.0],[69.0],[553.0],[69.0],[798.0],[51.0],[27.0],[506.0],[798.0],[43.0],[29.0],[56.0],[180.0],[69.0],[798.0],[69.0],[936.0],[395.0],[51.0],[79.0],[795.0],[176.0],[167.0],[755.0],[85.0],[166.0],[391.0],[798.0],[384.0],[56.0],[181.0],[381.0],[69.0],[792.0],[389.0],[167.0],[792.0],[796.0],[63.0],[19.0],[171.0],[9.0],[163.0],[559.0],[181.0],[74.0],[56.0],[578.0],[827.0],[932.0],[69.0],[384.0],[828.0],[74.0],[56.0],[936.0],[176.0],[798.0],[166.0],[499.0],[754.0],[752.0],[754.0],[384.0],[559.0],[159.0],[797.0],[797.0],[120.0],[85.0],[384.0],[391.0],[380.0],[503.0],[19.0],[769.0],[873.0],[873.0],[828.0],[69.0],[6.0],[792.0],[559.0],[499.0],[828.0],[815.0],[503.0],[827.0],[154.0],[140.0],[890.0],[176.0],[873.0],[85.0],[66.0],[66.0]
9,[827.0],[749.0],[923.0],[974.0],[45.0],[551.0],[504.0],[66.0],[67.0],[168.0],[769.0],[6.0],[226.0],[69.0],[991.0],[69.0],[76.0],[38.0],[43.0],[797.0],[908.0],[136.0],[559.0],[873.0],[752.0],[391.0],[504.0],[820.0],[131.0],[69.0],[827.0],[553.0],[42.0],[873.0],[69.0],[168.0],[25.0],[226.0],[792.0],[171.0],[815.0],[1019.0],[583.0],[56.0],[501.0],[756.0],[385.0],[44.0],[67.0],[23.0],[166.0],[792.0],[553.0],[108.0],[23.0],[108.0],[41.0],[56.0],[798.0],[830.0],[168.0],[814.0],[936.0],[828.0],[180.0],[559.0],[51.0],[29.0],[74.0],[932.0],[176.0],[946.0],[862.0],[99.0],[58.0],[652.0],[384.0],[386.0],[94.0],[391.0],[991.0],[827.0],[108.0],[405.0],[610.0],[499.0],[69.0],[180.0],[503.0],[504.0],[827.0],[559.0],[107.0],[74.0],[746.0],[974.0],[827.0],[503.0],[41.0],[939.0]
