Iteration,Sim_0,Sim_1,Sim_2
0,[756.0],[35.0],[102.0]
1,[4.0],[42.0],[798.0]
2,[19.0],[827.0],[66.0]
3,[42.0],[66.0],[168.0]
4,[56.0],[792.0],[166.0]
5,[176.0],[69.0],[69.0]
6,[797.0],[3.0],[379.0]
7,[755.0],[99.0],[616.0]
8,[39.0],[383.0],[828.0]
9,[862.0],[873.0],[7.0]
10,[35.0],[393.0],[827.0]
11,[29.0],[6.0],[814.0]
12,[69.0],[500.0],[873.0]
13,[166.0],[953.0],[792.0]
14,[795.0],[56.0],[769.0]
15,[769.0],[390.0],[163.0]
16,[140.0],[405.0],[859.0]
17,[2.0],[769.0],[820.0]
18,[58.0],[51.0],[929.0]
19,[53.0],[48.0],[136.0]
20,[41.0],[816.0],[79.0]
21,[27.0],[742.0],[987.0]
22,[403.0],[228.0],[503.0]
23,[504.0],[140.0],[24.0]
24,[393.0],[168.0],[381.0]
25,[13.0],[396.0],[14.0]
26,[97.0],[33.0],[143.0]
27,[499.0],[178.0],[933.0]
28,[531.0],[398.0],[15.0]
29,[6.0],[818.0],[936.0]
30,[94.0],[156.0],[890.0]
31,[388.0],[43.0],[971.0]
32,[814.0],[117.0],[500.0]
33,[509.0],[401.0],[927.0]
34,[14.0],[883.0],[173.0]
35,[753.0],[756.0],[4.0]
36,[513.0],[508.0],[397.0]
37,[381.0],[476.0],[40.0]
38,[799.0],[505.0],[76.0]
39,[382.0],[512.0],[380.0]
40,[81.0],[884.0],[171.0]
41,[751.0],[862.0],[176.0]
42,[933.0],[98.0],[388.0]
43,[23.0],[1005.0],[53.0]
44,[936.0],[509.0],[911.0]
45,[104.0],[797.0],[178.0]
46,[173.0],[965.0],[113.0]
47,[514.0],[514.0],[19.0]
48,[133.0],[859.0],[71.0]
49,[383.0],[133.0],[680.0]
50,[120.0],[501.0],[23.0]
51,[835.0],[891.0],[622.0]
52,[49.0],[40.0],[511.0]
53,[117.0],[499.0],[401.0]
54,[387.0],[537.0],[127.0]
55,[8.0],[460.0],[988.0]
56,[971.0],[814.0],[458.0]
57,[127.0],[391.0],[583.0]
58,[653.0],[510.0],[836.0]
59,[51.0],[363.0],[990.0]
60,[380.0],[929.0],[396.0]
61,[877.0],[52.0],[324.0]
62,[798.0],[971.0],[402.0]
63,[177.0],[127.0],[31.0]
64,[511.0],[475.0],[857.0]
65,[390.0],[87.0],[925.0]
66,[354.0],[176.0],[908.0]
67,[175.0],[484.0],[954.0]
68,[404.0],[110.0],[518.0]
69,[78.0],[904.0],[522.0]
70,[545.0],[1003.0],[938.0]
71,[553.0],[404.0],[128.0]
72,[107.0],[881.0],[393.0]
73,[33.0],[933.0],[227.0]
74,[622.0],[584.0],[874.0]
75,[124.0],[24.0],[314.0]
76,[904.0],[1002.0],[151.0]
77,[953.0],[26.0],[755.0]
78,[43.0],[571.0],[499.0]
79,[497.0],[988.0],[684.0]
80,[510.0],[88.0],[406.0]
81,[993.0],[553.0],[507.0]
82,[831.0],[993.0],[322.0]
83,[168.0],[109.0],[16.0]
84,[156.0],[125.0],[97.0]
85,[32.0],[525.0],[967.0]
86,[40.0],[447.0],[965.0]
87,[650.0],[834.0],[325.0]
88,[711.0],[397.0],[64.0]
89,[5.0],[982.0],[63.0]
90,[34.0],[911.0],[930.0]
91,[36.0],[64.0],[263.0]
92,[406.0],[458.0],[385.0]
93,[31.0],[693.0],[122.0]
94,[987.0],[996.0],[233.0]
95,[935.0],[16.0],[52.0]
96,[501.0],[616.0],[87.0]
97,[914.0],[387.0],[96.0]
98,[502.0],[520.0],[832.0]
99,[228.0],[832.0],[907.0]
100,[363.0],[902.0],[170.0]
101,[604.0],[529.0],[356.0]
102,[500.0],[105.0],[1003.0]
